Source;Target
60021103;70019062
60021103;81030627
60021103;80001305
60021103;70019060
60021103;70202899
60021103;80023687
60021103;70028883
60021103;80991903
60021103;81091393
60021103;80243876
60021103;60027393
60021103;60032294
60021103;60023642
60021103;80995578
60021103;60024788
60021103;80014749
60021103;80115466
60021103;70308852
60021103;80185760
60021103;81409869
60021103;81033445
60021103;28630857
60021103;80149259
60021103;80174974
60021103;70299043
60021103;81249833
60028308;60020626
60028308;60011663
60028308;20559714
60028308;81582615
60028308;70099790
60028308;80017529
60028308;70056430
60028308;60011152
60028308;60022974
60028308;60001044
60028308;80197619
60028308;81035551
60028308;81603987
60028308;70305899
60028308;5670479
60028308;80182016
60028308;70189304
60028308;70208104
60028308;80013871
60028308;80098202
60028308;505789
60028308;80133543
60028308;70111323
60028308;60026139
60028308;70056440
60028308;80014727
70020509;81030627
70020509;1151721
70020509;80017529
70020509;70056430
70020509;80190534
70020509;80111425
70020509;81279324
70020509;70243460
70020509;80170988
70020509;60022974
70020509;18907685
70020509;70044379
70020509;81249833
70020509;81370440
70020509;80236390
70020509;60028308
70020509;81152992
70020509;70189304
70020509;80071227
70020509;70208104
70020509;80013871
70020509;80098202
70020509;70305892
70020509;60026139
70020509;60029681
70020509;81612863
70035035;81316559
70035035;70293674
70035035;70019062
70035035;70106454
70035035;80036398
70035035;70142821
70035035;70019060
70035035;81328781
70035035;70216227
70035035;80092922
70035035;70028883
70035035;70262786
70035035;70045021
70035035;60027393
70035035;60032294
70035035;80158668
70035035;60023642
70035035;81281872
70035035;81143068
70035035;70019058
70035035;70109889
70035035;70035036
70035035;60027106
70035035;28630857
70035035;80013552
70035035;80234491
70049481;81582615
70049481;81382073
70049481;81410649
70049481;81336431
70049481;60034816
70049481;81471386
70049481;81481539
70049481;81453541
70049481;80235267
70049481;70101535
70049481;81424068
70049481;81564749
70049481;81506575
70049481;81387067
70049481;70213223
70049481;81417796
70049481;80182016
70049481;81382174
70049481;268371
70049481;81365134
70049481;81205314
70049481;81045305
70056430;70143836
70056430;81030627
70056430;70264801
70056430;80017529
70056430;80190534
70056430;80111425
70056430;81279324
70056430;70020509
70056430;60022974
70056430;60029196
70056430;70301870
70056430;81458368
70056430;81370440
70056430;80236390
70056430;60028308
70056430;70189304
70056430;80071227
70056430;70208104
70056430;70281312
70056430;80013871
70056430;81073022
70056430;80098202
70056430;70305892
70056430;80133543
70056430;60026139
70056430;81612863
70101535;81582615
70101535;81410649
70101535;60034816
70101535;80174263
70101535;81481539
70101535;81064867
70101535;81453541
70101535;81382060
70101535;81144852
70101535;80175798
70101535;81564749
70101535;81564732
70101535;18907685
70101535;81387067
70101535;80182016
70101535;81166791
70101535;268371
70101535;81166149
70101535;81140933
70101535;81444818
70101535;81365134
70101535;81435930
70101535;81205314
70101535;81045305
70125931;70002007
70125931;60022058
70125931;60027689
70125931;60034572
70125931;70033005
70125931;80241136
70125931;70267728
70125931;986399
70125931;600346
70125931;81023618
70125931;81427442
70125931;81616116
70125931;80204447
70125931;81011712
70125931;60020686
70125931;70243449
70125931;60031264
70125931;80071348
70125931;81026605
70125931;70021640
70125931;70298991
70125931;80002924
70125931;70047102
70125931;28631029
70125931;81024153
70125931;80994666
70136120;70153373
70136120;81435370
70136120;81516751
70136120;81459281
70136120;81468289
70136120;70195800
70136120;70143830
70136120;81288370
70136120;81165134
70136120;80027158
70136120;215309
70136120;80025384
70136120;70208247
70136120;70155618
70136120;80014749
70136120;70167068
70136120;70153404
70136120;70270408
70136120;81161789
70136120;70113002
70136120;70167070
70136120;81194505
70136120;70171942
70136120;70155589
70136120;70281562
70136120;70028904
70136120;81270678
70136120;81021929
70136140;81030627
70136140;60024918
70136140;81057361
70136140;70251536
70136140;70305903
70136140;70283264
70136140;81194641
70136140;60022974
70136140;80221410
70136140;80236314
70136140;60010110
70136140;60023071
70136140;60028308
70136140;80014749
70136140;80027042
70136140;80170280
70136140;81010971
70136140;60001650
70136140;81094067
70136140;80133543
70136140;60002360
70136140;20559714
70136140;81249833
70140438;70143836
70140438;80117551
70140438;70118769
70140438;81140933
70140438;80169498
70140438;81349306
70140438;80197989
70140438;60024922
70140438;81307103
70140438;80100054
70140438;70155618
70140438;80176893
70140438;80211686
70140438;80201590
70140438;80171659
70142382;70234677
70142382;81307101
70142382;81447330
70142382;80993568
70142382;81441828
70142382;81019909
70142382;81109061
70142382;70153388
70142382;70217931
70142382;81228402
70142382;81341222
70142382;81512574
70142382;81425251
70142382;81417684
70142382;81175724
70142382;80185178
70142382;70142384
70142382;81456532
