Source;Target
20559714;70111323
20559714;60026139
20559714;70217910
20559714;60001650
20559714;60004473
20559714;60022974
20559714;80017529
20559714;80093133
20559714;22013422
20559714;81161626
20559714;70108779
20559714;60036256
20559714;60023597
20559714;70056440
20559714;5670479
20559714;81044417
20559714;80161352
20559714;70305899
215309;70263864
215309;81064867
215309;70097577
215309;70028904
215309;70267242
215309;70058017
215309;81397077
215309;70021637
215309;60034587
215309;24063311
215309;60027689
215309;81161626
215309;70125231
215309;70087541
215309;81057361
215309;80079256
215309;60024059
215309;70155536
215309;70044593
215309;60001650
215309;60010111
215309;70167070
215309;70123711
215309;70220030
215309;70041162
22013422;70060006
22013422;81183718
22013422;81397077
22013422;81240831
22013422;81081050
22013422;70251537
22013422;60001220
22013422;81189449
22013422;81198998
22013422;60024918
22013422;81128579
22013422;81021447
22013422;80094622
22013422;80213226
22013422;80196789
22013422;80245041
22013422;81044417
22013422;81557402
22013422;80091233
22013422;60027996
22013422;60004473
22013422;80017529
22013422;60036256
22013422;70028905
22013422;80210920
22013422;80067831
28630857;81478031
28630857;81328781
28630857;80045948
28630857;70019060
28630857;70142405
28630857;80013552
28630857;70045021
28630857;80036398
28630857;70142821
28630857;81345945
28630857;81026605
28630857;70019062
28630857;81400497
28630857;80092922
28630857;81093113
28630857;70262786
28630857;60021103
28630857;80233883
28630857;80234491
28630857;80158668
28630857;70035036
28630857;81228573
28630857;81281872
28630857;70019058
28630857;81143068
28630857;70293674
445386;70167068
445386;80212986
445386;81476183
445386;80221908
445386;80143556
445386;80169498
445386;80131194
445386;994992
445386;70103759
445386;80075010
445386;81043665
445386;80203147
445386;693960
445386;81041317
445386;60034573
445386;70045854
445386;18171073
445386;70136041
445386;70178624
445386;60001947
445386;80232398
445386;384406
445386;70045283
445386;81580045
445386;81388078
445386;70167075
505789;60011152
505789;80190859
505789;80212986
505789;81397077
505789;81161372
505789;60001044
505789;81603987
505789;1152837
505789;81304948
505789;445386
505789;80058880
505789;81135138
505789;81104904
505789;693960
505789;80207506
505789;60011663
505789;80182016
505789;873159
505789;80161728
505789;70111323
505789;60020626
505789;80017529
505789;81582615
505789;81580045
505789;81557402
505789;80241318
60000417;60011152
60000417;80058397
60000417;60024942
60000417;81476183
60000417;60029681
60000417;80013871
60000417;994992
60000417;80074781
60000417;70132721
60000417;81239779
60000417;268371
60000417;80081151
60000417;60001220
60000417;70084788
60000417;60024922
60000417;328438
60000417;70114497
60000417;81135138
60000417;70243453
60000417;80207506
60000417;81660544
60000417;70230640
60000417;70135893
60000417;60011663
60000417;81557402
60000417;81092221
60000417;70243460
60000417;80073823
60000417;80017529
60000417;70044605
60000417;70104313
60000417;70305903
60000417;70201437
60000417;80210920
60000417;18907685
60000417;80241318
60000417;80197327
60001393;70058020
60001393;60027486
60001393;81397077
60001393;81509422
60001393;81171201
60001393;80071227
60001393;80014727
60001393;60022974
60001393;80158764
60001393;80992058
60001393;70102746
60001393;81057361
60001393;81043995
60001393;81194641
60001393;81160697
60001393;81557402
60001393;81092221
60001393;70021642
60001393;60001650
60001393;81058434
60001393;70264801
60001393;70123711
60001393;684660
60001393;60023071
60001393;80241318
60001393;70065116
60002360;60010110
60002360;80993105
60002360;60020549
60002360;22013422
60002360;70208599
60002360;80091595
60002360;60022974
60002360;81161626
60002360;70099790
60002360;80216309
60002360;20559714
60002360;70108779
60002360;81277430
60002360;81044417
60002360;60001650
60002360;80017529
60002360;80093133
60002360;70123711
60002360;60036256
60004481;60010110
60004481;80029196
60004481;70097577
60004481;80091595
60004481;80027042
60004481;80065386
60004481;80216309
60004481;70208247
60004481;20559714
60004481;60024059
60004481;81044417
60004481;70217910
60004481;70021642
60004481;60001650
60004481;60004473
60004481;80017529
60004481;70056430
60004481;70060015
60004481;70123711
60004481;60002360
60004481;60023597
60004481;80241318
60010110;70208599
60010110;70097577
60010110;70267242
60010110;60034587
60010110;70250213
60010110;70058024
60010110;70125231
60010110;60003016
60010110;81057361
60010110;20559714
60010110;81277430
60010110;60020686
60010110;60020828
60010110;215309
60010110;70217910
60010110;60001650
60010110;81309354
60010110;215318
60010110;70123711
60010110;684660
60010110;70041162
60010110;986399
60010110;60021783
60020549;81057361
60020549;70111323
60020549;60004473
60020549;60001650
60020549;60022974
60020549;80017529
60020549;22013422
60020549;81161626
60020549;70108779
60020549;60036256
60020549;70028905
60020549;70056440
60020549;5670479
60020549;81044417
60020549;80179070
60023071;70065116
60023071;60001393
60023071;81171201
60023071;80071227
60023071;60022974
60023071;60036246
60023071;81161626
60023071;60024918
60023071;80038359
60023071;70041961
60023071;81057361
60023071;70173048
60023071;81194641
60023071;81160697
60023071;80121192
60023071;70021642
60023071;80017529
60023071;70264801
60023071;60021783
60023642;80158156
60023642;81478031
60023642;70216227
60023642;70109889
60023642;70142405
60023642;60027106
60023642;81475311
60023642;70045021
60023642;81451264
60023642;81026605
60023642;70019062
60023642;70106454
60023642;81214399
60023642;60032294
60023642;60020686
60023642;60027393
60023642;70019058
60023642;81616116
