Source;Target
318960;70058020
318960;81280035
318960;81058613
318960;60022974
318960;70102746
318960;80170988
318960;80103726
318960;81195027
318960;81450827
318960;80230399
318960;81194641
318960;81576597
318960;80192187
318960;81160697
318960;80220426
318960;80121192
318960;70018720
318960;80097221
318960;80210920
318960;70001232
60026139;80118916
60026139;81370440
60026139;70266110
60026139;81041495
60026139;81280035
60026139;80178280
60026139;81397077
60026139;80044545
60026139;80041653
60026139;80190534
60026139;328438
60026139;80170988
60026139;81088494
60026139;80230399
60026139;60011663
60026139;80192187
60026139;81557402
60026139;80220426
60026139;80017529
60026139;81580045
60026139;70056440
60026139;80210920
70101535;80200571
70101535;80190859
70101535;81064867
70101535;81476183
70101535;81387067
70101535;81115160
70101535;81564732
70101535;81444818
70101535;268371
70101535;81476441
70101535;81435930
70101535;81354934
70101535;81382060
70101535;81205314
70101535;80211648
70101535;81410649
70101535;60034816
70101535;81426931
70101535;80182016
70101535;80174263
70101535;81167887
70101535;80232398
70101535;81144852
70101535;81166791
70101535;81453541
70101535;18907685
70140358;81516751
70140358;80095815
70140358;80998491
70140358;70242311
70140358;80025384
70140358;80095697
70140358;81397077
70140358;80113701
70140358;81447461
70140358;70300800
70140358;80198991
70140358;80986854
70140358;70208247
70140358;81500842
70140358;80177342
70140358;81193104
70140358;81214194
70140358;81288370
70140358;80995819
70140358;80017537
70140358;81021929
70140358;81468289
70140358;81406669
70140358;70153385
70140358;80179190
70140358;80238565
70158330;80104198
70158330;80097140
70158330;80174608
70158330;80236236
70158330;81397077
70158330;81161230
70158330;80218200
70158330;80207033
70158330;80105699
70158330;81321986
70158330;81094067
70158330;80117799
70158330;81473627
70158330;80189853
70158330;80098200
70158330;81465109
70158330;81067760
70158330;80236319
70158330;80134431
70158330;80214512
70158330;80189685
70171946;81324724
70171946;81476183
70171946;80212986
70171946;80239866
70171946;81233755
70171946;81397077
70171946;80075010
70171946;80240027
70171946;81166770
70171946;81304948
70171946;81495803
70171946;80136311
70171946;80201590
70171946;80994340
70171946;80134695
70171946;81051688
70171946;81408600
70171946;80202258
70171946;70285581
70171946;80232398
70171946;18962448
70171946;80995799
70171946;81580045
70171946;80210920
70171946;80241318
70171946;81562449
70172485;81005407
70172485;80020037
70172485;80230534
70172485;80238106
70172485;80095435
70172485;80174285
70172485;80231658
70172485;80244332
70172485;81443738
70172485;80220541
70172485;70294800
70172485;80020540
70172485;81011712
70172485;80994878
70172485;60031264
70172485;80042307
70172485;80058852
70172485;60020686
70172485;80201035
70172485;70197459
70172485;80234451
70173047;80142090
70173047;81370440
70173047;81001887
70173047;81171201
70173047;80204465
70173047;60022974
70173047;81161626
70173047;81488967
70173047;70017716
70173047;70102746
70173047;80170988
70173047;70173048
70173047;80230399
70173047;81587697
70173047;81005492
70173047;81160697
70173047;81092221
70173047;80017529
70173047;81043105
70178217;60011152
70178217;81396545
70178217;81476183
70178217;80025678
70178217;81233755
70178217;81397077
70178217;60022974
70178217;81603987
70178217;81417796
70178217;81304948
70178217;80195198
70178217;81303831
70178217;80002479
70178217;81450827
70178217;80021955
70178217;80185171
70178217;80113647
70178217;80235864
70178217;80114855
70178217;60011663
70178217;80025172
70178217;80117552
70178217;80994082
70178217;80210920
70178217;80241318
70178217;81288983
70178639;70065112
70178639;81424906
70178639;70167068
70178639;81476183
70178639;80212986
70178639;70032592
70178639;80096645
70178639;81425117
70178639;80156763
70178639;70103759
70178639;60031278
70178639;81241465
70178639;80174897
70178639;81043665
70178639;81041317
70178639;81286006
70178639;60034573
70178639;70045854
70178639;70118780
70178639;60001947
70178639;80189630
70178639;80211623
70178639;81132044
70178639;81580045
70178639;81076586
70178639;70138790
70187741;81044551
70187741;81275686
70187741;81277880
70187741;80216665
70187741;81437299
70187741;81032737
70187741;80198511
70187741;80996601
70187741;81587446
70187741;81598495
70187741;81140803
70187741;81196469
70187741;80160037
70187741;81075536
70187741;81333845
70187741;80223108
70187741;81218438
70187741;81444148
70187741;81026300
70187741;81620610
70187741;81310218
70187741;81075744
70187741;81127121
70187741;81057855
70205014;80986797
70205014;81328781
70205014;81261669
70205014;81295011
70205014;81177634
70205014;80050063
70205014;81499847
70205014;81648330
70205014;80052669
70205014;80182123
70205014;80996957
70205014;80241072
70205014;81318842
70205014;81648185
70205014;81345945
70205014;81054849
70205014;80228274
70205014;81054847
70205014;80175351
70205014;81275353
70205014;81228573
70205014;81318888
70205014;81281872
70205014;80198505
70205014;81043571
70205672;81324724
70205672;80212986
70205672;81397422
70205672;81486213
70205672;81397077
70205672;81603987
70205672;80997085
70205672;81304948
70205672;81495803
70205672;81261170
70205672;81317562
70205672;80992058
70205672;81410976
70205672;81166747
70205672;81167761
70205672;81012637
70205672;81022683
70205672;80133042
70205672;80066429
70205672;80025172
70205672;81557402
70205672;81098497
70205672;81481808
70205672;80211572
70205672;80210920
70205672;80241318
70218677;70167068
70218677;60003509
70218677;70032592
70218677;80096645
70218677;70103759
70218677;70044867
70218677;81304948
70218677;80184100
70218677;70077514
70218677;81045831
70218677;60033327
70218677;70208247
70218677;81041317
70218677;60034573
70218677;70045854
70218677;81034553
70218677;70118780
70218677;60001947
70218677;81510180
70218677;70178639
70218677;80189630
70218677;81580045
70218677;81076586
70218677;81086631
70218677;70138790
70218677;70167075
70242311;80197526
70242311;81324724
70242311;80211627
70242311;81025696
70242311;80212986
70242311;81476183
70242311;80211991
70242311;81397077
70242311;81447461
70242311;80117809
70242311;81305952
70242311;81304948
70242311;81495803
70242311;80179905
70242311;80198991
70242311;80994340
70242311;81446305
70242311;80177342
70242311;80117540
70242311;80219707
70242311;80057918
70242311;80117470
70242311;80241545
70242311;80133311
70242311;80241318
70242311;80179190
70254945;81029383
70254945;80212986
70254945;81476183
70254945;81590491
70254945;81471262
70254945;81471386
70254945;81476441
70254945;81304948
70254945;81495803
70254945;81043665
70254945;81354529
70254945;81410649
70254945;693960
70254945;81041317
70254945;80235267
70254945;81222923
70254945;80168029
70254945;70285581
70254945;80232398
70254945;81382174
70254945;81002196
70254945;81580045
70254945;70254959
70254945;81388078
70254945;81557402
70254945;81073387
70254945;81506575
70254959;81476183
70254959;80212986
70254959;81471386
70254959;81414644
70254959;81476441
70254959;81304948
70254959;81043665
70254959;81354529
70254959;81410649
70254959;81041317
70254959;81286006
70254959;81426931
70254959;80235267
70254959;81222923
70254959;70001601
70254959;70285581
70254959;80232398
70254959;81167887
70254959;80017529
70254959;81382174
70254959;81002196
70254959;81580045
70254959;81388078
70254959;80210920
70254959;81073387
70254959;81506575
70264888;80100172
70264888;81324724
70264888;80200575
70264888;80097140
70264888;80044950
70264888;80234304
70264888;80174608
70264888;81476183
70264888;80212986
70264888;80211991
70264888;81233755
70264888;81252357
70264888;81397077
70264888;80222802
70264888;81304948
70264888;81495803
70264888;81195027
70264888;80021955
70264888;80244645
70264888;60011663
70264888;81557402
70264888;81580045
70264888;80025744
70264888;80210920
70264888;80241318
70281312;81396545
70281312;81476183
70281312;70178217
70281312;81397077
70281312;81603987
70281312;81417796
70281312;81304948
70281312;81495803
70281312;81303831
70281312;80002479
70281312;81450827
70281312;80021955
70281312;80210920
70281312;81581068
70281312;80113647
70281312;80235864
70281312;81576597
70281312;80114855
70281312;60011663
70281312;81481477
70281312;81481808
70281312;80057918
70281312;80994082
70281312;81557402
70281312;80241318
70281312;81288983
70285581;81324724
70285581;81476183
70285581;80212986
70285581;80025678
70285581;81590491
70285581;81397077
70285581;81414644
70285581;81476441
70285581;80240027
70285581;81304948
70285581;80074249
70285581;81149450
70285581;81354529
70285581;80994340
70285581;81041317
70285581;80099656
70285581;81222923
70285581;81481477
70285581;81557402
70285581;80232398
70285581;80236319
70285581;80119411
70285581;81580045
70285581;80210920
70285581;80241318
70285581;80189685
70295578;81297404
70295578;81092963
70295578;80028732
70295578;80095697
70295578;81261669
70295578;80240585
70295578;81499847
70295578;80189631
70295578;80050008
70295578;81067223
70295578;81259476
70295578;81080959
70295578;80231433
70295578;70300800
70295578;80242531
70295578;81053303
70295578;81178338
70295578;80235932
70295578;80987903
70295578;81304528
70295578;81214194
70295578;80995819
70295578;80117038
70295578;80198505
70295578;80191522
70295578;81008138
70297439;80071348
70297439;81567663
70297439;81045859
70297439;70250213
70297439;81294811
70297439;60031264
70297439;70177034
70297439;81354663
70297439;80242531
70297439;80155771
70297439;60034572
70297439;81093076
70297439;60020686
70297439;81628818
70297439;80039394
70300800;80197526
70300800;81324724
70300800;81231974
70300800;70242311
70300800;81092963
70300800;80028732
70300800;80095697
70300800;81245457
70300800;81067223
70300800;80113701
70300800;81259476
70300800;80198137
70300800;81080959
70300800;81053303
70300800;81178338
70300800;80175722
70300800;80235932
