Id;Label;Genres;Netflix_original;Nombre_occurrence
318960;Tonnerre de feu;Films policiers,Policiers d'action,Films d'action;False;1
60026139;Les larmes du soleil;Films sur l'armée,Films d'action;False;1
70101535;Les Proscrits;Suédois,Films inspirés d'une pièce de théâtre,Drames,Films romantiques,Films d'époque;False;1
70140358;Arrested Development;Sitcoms,Séries comiques,Séries US;True;1
70158330;Star Trek: Deep Space Nine;Séries SF,Séries d'action et d'aventure,Séries US;False;2
70171946;Heartland;Séries dramatiques,Séries pour la famille à voir ensemble,Canadien,Séries inspirées de livres;False;1
70172485;Victorious;Pour enfants,Sitcoms,Séries comiques;False;1
70173047;Premium Rush;Films policiers,Policiers d'action,Films d'action;False;1
70178217;House of Cards;Séries politiques,Séries US,Thrillers TV;True;3
70178639;Jumping the Broom;Comédies romantiques,Films comiques,Films romantiques;False;1
70187741;RuPaul's Drag Race;Téléréalité avec concours,Téléréalité,Séries US;True;1
70205014;Ouran Host Club : Le lycée de la séduction;Japonais,Anime romantique,Séries pour ados,Séries d'animation japonaise,Animes sur l'école;False;1
70205672;La reine du sud;Mexicain,Séries inspirées de livres,Thrillers TV;True;4
70218677;Think Like a Man;Comédies romantiques,Films comiques,Films romantiques,Films inspirés de livres;False;1
70242311;Orange Is the New Black;Séries inspirées de livres,Séries comiques,Séries US,Séries inspirées de faits réels;True;8
70254945;Barbara;Danois,Drames,Films romantiques,Films inspirés de livres,Films d'époque;False;3
70254959;The Greatest Thing;Norvégien,Drames,Films romantiques,Films inspirés de livres,Films d'époque;False;1
70264888;Black Mirror;Britannique,Séries SF,Thrillers TV;True;4
70281312;Blacklist;Séries policières,Séries US,Thrillers TV;False;1
70285581;Outlander;Séries politiques,Séries inspirées de livres,Séries d'action et d'aventure,Séries US,Séries fantastiques;True;6
70295578;Méchant, Kurt !;Norvégien,Films comiques,Films inspirés de livres,Films d'animation;False;1
70297439;Pokémon, la série : La ligue indigo;Pour enfants,Japonais,Anime inspiré d'un jeu vidéo,Séries d'animation japonaise;False;1
70300800;BoJack Horseman;Sitcoms,Séries comiques,Séries US;True;3
70301585;'71;Britannique,Films sur l'armée,Films indépendants,Films d'action;False;1
70302482;Borgen, une femme au pouvoir;Séries politiques,Séries dramatiques,Danois,Séries scandinaves,Séries dramatiques sociales;False;1
70305883;Marco Polo;Séries d'action et d'aventure,Films d'époque,Séries US;True;1
80000770;Making a Murderer;Séries policières,Séries documentaires,Docus société et culture,Séries US,Documentaires inspirés de crimes réels;True;2
80002479;Peaky Blinders;Séries dramatiques,Britannique,Films d'époque;True;5
80008187;Please Like Me;Australien,Séries comiques;False;1
80008434;Z Nation;Séries SF,Séries comiques,Séries d'action et d'aventure,Séries US,Séries d'épouvante;False;2
80010655;Bloodline;Séries d'intrigue,Séries US,Thrillers TV;True;1
80017537;Grace et Frankie;Sitcoms,Séries comiques,Séries US;True;4
80019503;BoJack Horseman Christmas Special: Sabrina's Christmas Wish;Sitcoms,Séries comiques,Séries US;True;1
80021955;Better Call Saul;Séries dramatiques,Séries US;True;4
80025172;Narcos;Séries d'action et d'aventure,Séries US,Thrillers TV,Séries inspirées de faits réels;True;6
80025384;Unbreakable Kimmy Schmidt;Sitcoms,Séries comiques,Séries US;True;4
80025601;The Get Down;Séries dramatiques,Culture Hip-hop,Séries US;True;1
80025678;The Crown;Séries politiques,Séries dramatiques,Britannique,Séries inspirées de faits réels;True;8
80025744;Sense8;Séries SF,Séries US,Thrillers TV;True;8
80028732;F is for Family;Sitcoms,Séries comiques,Séries US;True;2
80029520;Doctor Stranger;Séries médicales,Séries dramatiques romantiques,Séries dramatiques,Coréen,Séries inspirées de livres;False;1
80036407;Le cœur a ses raisons;Séries dramatiques,Séries pour la famille à voir ensemble,Séries inspirées de livres,Films d'époque,Séries US;False;3
80037677;Naruto the Last : Le film;Anime d'action,Japonais,Anime romantique,Films romantiques,Films d'animation;False;1
80039394;Dragons : Par delà les rives;Pour enfants,Séries pour la famille à voir ensemble,Séries inspirées de livres,Dessins animés;True;1
80039905;Nice Guy;Séries dramatiques romantiques,Séries dramatiques,Coréen;False;1
80039906;Master's Sun;Coréen,Séries comiques,Séries comiques romantiques,Séries d'épouvante;False;1
80039909;I Can Hear Your Voice;Séries dramatiques romantiques,Séries dramatiques,Séries judiciaires,Coréen,Séries policières;False;2
80044545;Beasts of No Nation;Films sur l'armée,Drames,Films indépendants,Films inspirés de livres,Drames primés;True;1
80044950;The OA;Séries SF,Séries d'intrigue,Séries US,Thrillers TV;True;3
80049714;Master of None;Séries comiques,Séries US;True;2
80049832;Notre planète;Séries pour la famille à voir ensemble,Britannique,Documentaires nature et écologie,Émissions sciences et nature,Docus sciences et nature;True;1
80050063;The Seven Deadly Sins;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;True;2
80051137;La fête à la maison : 20 ans après;Sitcoms,Séries pour la famille à voir ensemble,Séries comiques,Séries US;True;2
80052669;No Game, No Life;Anime SF et fantastique,Japonais,Animes inspirés de light novels,Séries d'animation japonaise;False;1
80057281;Stranger Things;Séries SF,Séries pour ados,Séries US,Séries d'épouvante;True;7
80057918;Lucifer;Séries policières,Séries US,Séries fantastiques,Séries inspirées de B.D.;True;5
80057968;Glitter Force;Pour enfants,Séries d'animation japonaise,Dessins animés;True;1
80066429;Ingobernable;Séries politiques,Séries dramatiques,Mexicain;True;1
80071227;Mr Wolff;Films d'action;False;1
80074249;The Last Kingdom;Britannique,Séries inspirées de livres,Séries d'action et d'aventure,Films d'époque;True;6
80081705;Iris;Séries politiques,Coréen,Séries inspirées de livres,Séries d'action et d'aventure,Thrillers TV;False;2
80082242;La femme la plus détestée d'Amérique;Drames,Films d'époque,Films inspirés de faits réels,Drames sociaux;True;2
80083594;Marco Polo: One Hundred Eyes;Séries d'action et d'aventure,Films d'époque,Séries US,Séries inspirées de faits réels;True;1
80084447;Shadowhunters: The Mortal Instruments;Séries SF,Séries inspirées de livres,Séries pour ados,Séries US,Séries d'épouvante;True;7
80091742;Last Chance U;Séries documentaires,Docus société et culture,Séries US;True;1
80092878;Good Morning Call;Japonais,Séries pour ados,Séries comiques,Séries comiques romantiques,Séries inspirées de mangas;True;3
80094273;Rebellion;Séries politiques,Séries dramatiques,Irlandais,Films d'époque;True;3
80094728;Marcella;Britannique,Séries policières,Thrillers TV;True;1
80095241;Castlevania;Anime d'action,Anime inspiré d'un jeu vidéo,Séries d'animation japonaise,Anime d'horreur,Séries US;True;1
80095411;Gypsy;Séries dramatiques,Séries US;True;3
80095532;Au fil des jours;Sitcoms,Séries pour la famille à voir ensemble,Séries comiques,Séries US;True;1
80095697;Désenchantée;Séries comiques,Séries d'action et d'aventure,Séries US,Séries fantastiques;True;5
