Id;Label;Genres;Netflix_original;Nombre_occurrence
1179053;Sept ans au Tibet;Drames,Films inspirés de faits réels;False;1
18962448;Aussi profond que l'océan;Drames,Films inspirés de livres;False;1
20559714;La Momie;Films d'action;False;2
28631029;Stuart Little;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;False;1
445386;Dirty Dancing;Drames,Films romantiques,Drames primés;False;2
505789;Lancelot, le premier chevalier;Drames,Films romantiques,Films d'époque;False;1
60000417;La Ligne verte;Drames,Films inspirés de livres,Drames primés;False;3
60001650;Men in Black;Films SF,Films comiques,Films d'action;False;2
60002360;Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;3
60003388;Snatch;Britannique,Comédies;False;1
60004481;Spider-Man;Films SF,Films d'action;False;2
60010110;Retour vers le futur;Films pour la famille,Films SF,Aventures en famille,Comédies;False;2
60011152;Le Parrain;Drames,Films inspirés de livres,Drames primés;False;1
60011511;Under Solen;Suédois,Drames,Films romantiques,Films inspirés de livres;False;1
60011663;Le Parrain 2;Drames,Films inspirés de livres,Drames primés;False;1
60020686;Shrek;Films pour la famille,Films jeunesse et famille,Aventures en famille,Satires,Comédies;False;2
60023597;MIIB;Films SF,Comédies,Films d'action;False;1
60023642;Le Voyage de Chihiro;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;3
60024059;Retour vers le futur 3;Films pour la famille,Films jeunesse et famille,Films SF,Aventures en famille,Comédies;False;1
60024918;Fusion;Films SF,Films d'action;False;1
60024922;8 Mile;Musique,Drames,Culture Hip-hop,Drames sociaux;False;1
60024942;Arrête-moi si tu peux;Films policiers,Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;3
60026139;Les larmes du soleil;Films sur l'armée,Films d'action;False;1
60027106;Kiki la petite sorcière;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
60027393;Le Château dans le ciel;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
60028308;Robin des Bois, prince des voleurs;Films romantiques,Films d'époque,Films d'action;False;1
60031264;Le Chat chapeauté;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;False;2
60034572;Shrek 2;Films pour la famille,Films jeunesse et famille,Aventures en famille,Comédies,Films inspirés de livres;False;1
60036752;Laisse parler ton cœur;Indien,Films en hindi,Films de Bollywood,Comédies romantiques,Drames;False;1
684660;Last Action Hero;Films SF,Comédies,Films d'action;False;1
70002007;Gang de Requins;Films pour la famille,Films jeunesse et famille,Aventures en famille,Comédies,Films d'animation;False;1
70019058;Le Royaume des chats;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
70020509;Heat;Films policiers,Policiers d'action,Films d'action;False;1
70028883;Le Château ambulant;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;2
70033005;Matilda;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;False;1
70044605;À la recherche du bonheur;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;2
70047101;Spider-Man 3;Films SF,Films d'action;False;1
70056430;Shooter, tireur d'élite;Intrigues,Films inspirés de livres,Films d'action;False;2
70056440;300;Films sur l'armée,Films d'action;False;1
70060015;Je suis une légende;Films SF,Films inspirés de livres,Films d'action;False;2
70079583;The Dark Knight : le chevalier noir;Films d'action;False;1
70100725;Fyra Fruar och En Man;Suédois,Films documentaires,Docus société et culture;False;1
70106454;Ponyo sur la falaise;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
70113002;Very Bad Trip;Films comiques;False;3
70113938;The Queen and I;Suédois,Films documentaires,Documentaires biographiques;False;1
70114497;Des mains en or;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;2
70119811;The Blind Side;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;3
70123711;Paul;Films SF,Britannique,Comédies;False;1
70125931;Karaté Kid;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;False;4
70132721;The Social Network;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;1
70135893;Le Discours d’un roi;Britannique,Drames,Films inspirés de faits réels,Drames primés;False;2
70136120;The Office (US);Sitcoms,Séries comiques,Séries US;False;4
70136140;Star Trek;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;False;3
70140358;Arrested Development;Sitcoms,Séries comiques,Séries US;True;1
70140907;Faster;Films d'action;False;1
70141824;Regretters;Suédois,Films documentaires,Films LGBTQ+,Docus société et culture;False;1
70142382;Laguna Beach: The Real Orange County;Séries pour ados,Téléréalité,Séries US;False;1
70142405;Avatar : Le dernier maître de l’air;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;False;8
70143830;The Big Bang Theory;Sitcoms,Séries comiques,Séries US;False;5
70143836;Breaking Bad;Séries US,Thrillers TV;False;6
70144327;Les Petits Mouchoirs;Français,Drames,Films comiques;False;2
70153373;Seinfeld;Sitcoms,Séries comiques,Séries US;False;2
