Id;Label;Genres;Netflix_original;Nombre_occurrence
1151721;Donnie Brasco;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;False;1
20559714;La Momie;Films d'action;False;1
28630857;Princesse Mononoké;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;False;1
60000417;La Ligne verte;Drames,Films inspirés de livres,Drames primés;False;1
60001044;The Patriot : Le Chemin de la liberté;Films sur l'armée,Films d'époque,Films d'action;False;1
60001650;Men in Black;Films SF,Films comiques,Films d'action;False;1
60002360;Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;1
60004481;Spider-Man;Films SF,Films d'action;False;1
60010110;Retour vers le futur;Films pour la famille,Films SF,Aventures en famille,Films comiques;False;1
60023642;Le Voyage de Chihiro;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
60024918;Fusion;Films SF,Films d'action;False;1
60024922;8 Mile;Musique,Drames,Culture Hip-hop,Drames sociaux;False;1
60024942;Arrête-moi si tu peux;Films policiers,Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;1
60027106;Kiki la petite sorcière;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
60027393;Le Château dans le ciel;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
60028308;Robin des Bois, prince des voleurs;Films romantiques,Films d'époque,Films d'action;False;3
60032294;Mon voisin Totoro;Films pour la famille,Films jeunesse et famille,Japonais,Films d'animation,Films d'animation japonaise;False;1
70018720;Elektra;Films SF,Films d'action;False;1
70020509;Heat;Films policiers,Policiers d'action,Films d'action;False;3
70028883;Le Château ambulant;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
70056430;Shooter, tireur d'élite;Intrigues,Films inspirés de livres,Films d'action;False;1
70056440;300;Films sur l'armée,Films d'action;False;1
70060015;Je suis une légende;Films SF,Films inspirés de livres,Films d'action;False;2
70079583;The Dark Knight : le chevalier noir;Films d'action;False;1
70106454;Ponyo sur la falaise;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
70111323;Robin des bois;Films d'époque,Drames sociaux,Films d'action;False;1
70113002;Very Bad Trip;Films comiques;False;1
70119811;The Blind Side;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;1
70125931;Karaté Kid;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;False;1
70136041;L'Arnacœur;Français,Comédies romantiques,Films comiques,Films romantiques;False;1
70136120;The Office (US);Sitcoms,Séries comiques,Séries US;False;6
70136140;Star Trek;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;False;2
70140358;Arrested Development;Sitcoms,Séries comiques,Séries US;True;4
70140438;Skins;Séries dramatiques,Britannique,Séries pour ados;False;2
70140907;Faster;Films d'action;False;1
70142382;Laguna Beach: The Real Orange County;Séries pour ados,Téléréalité,Séries US;False;2
70142384;The Hills;Séries pour ados,Téléréalité,Séries US,Style de vie;False;2
70142405;Avatar : Le dernier maître de l’air;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;False;4
70142413;Chappelle's Show;Séries comiques,Séries US;False;2
70143830;The Big Bang Theory;Sitcoms,Séries comiques,Séries US;False;6
70143836;Breaking Bad;Séries US,Thrillers TV;False;5
70144327;Les Petits Mouchoirs;Français,Drames,Films comiques;False;1
70153373;Seinfeld;Sitcoms,Séries comiques,Séries US;False;3
70153385;Trailer Park Boys;Sitcoms,Canadien,Séries comiques;True;4
70153388;L'Incroyable Famille Kardashian;Téléréalité,Séries US;False;2
70153404;Friends;Sitcoms,Séries comiques,Séries US;False;9
70155579;Johnny Test;Pour enfants,Dessins animés;False;1
70155589;Community;Sitcoms,Séries comiques,Séries US;False;2
70155618;Gilmore Girls;Séries pour ados,Séries comiques,Séries comiques romantiques,Séries US;False;6
70158329;Star Trek : la nouvelle génération;Séries SF,Séries d'action et d'aventure,Séries US;False;2
70158330;Star Trek: Deep Space Nine;Séries SF,Séries d'action et d'aventure,Séries US;False;1
70170085;À Bout Portant;Français,Films d'action;False;1
70171942;Archer;Sitcoms,Séries comiques,Séries d'action et d'aventure,Séries US;False;3
70177033;Winx Club;Pour enfants,Italien,Dessins animés;False;2
70177040;Dare Dare Motus: Collection Classique;Pour enfants,Britannique,Séries comiques,Dessins animés;False;2
70177057;The Walking Dead;Séries d'action et d'aventure,Séries US,Séries d'épouvante,Séries inspirées de B.D.;False;6
70178217;House of Cards;Séries politiques,Séries US,Thrillers TV;True;1
70178621;Voyage au centre de la Terre 2 : l'île mystérieuse;Films pour la famille,Aventures en famille,Films inspirés de livres,Films d'action;False;1
70180051;H2O;Pour enfants,Séries pour la famille à voir ensemble,Australien;False;3
70180088;Garfield & Cie;Pour enfants,Séries comiques,Dessins animés,Séries inspirées de B.D.;False;1
70187741;RuPaul's Drag Race;Téléréalité avec concours,Téléréalité,Séries US;True;4
70195800;Suits : avocats sur mesure;Séries judiciaires,Séries comiques,Séries US;False;3
70205012;Naruto;Anime SF et fantastique,Anime d'action,Séries pour la famille à voir ensemble,Japonais,Séries d'animation japonaise;False;4
70205014;Ouran Host Club : Le lycée de la séduction;Japonais,Anime romantique,Séries pour ados,Séries d'animation japonaise,Animes sur l'école;False;1
70205672;La reine du sud;Mexicain,Séries inspirées de livres,Thrillers TV;True;5
70208104;Sécurité rapprochée;Films d'espionnage,Films d'action;False;1
70211391;Les aventures de Tintin;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries inspirées de B.D.;False;2
70213130;Boys Over Flowers;Séries dramatiques romantiques,Séries dramatiques,Coréen,Séries pour ados,Séries inspirées de mangas;False;4
70213223;Downton Abbey;Séries dramatiques,Britannique,Films d'époque,Séries dramatiques sociales;False;6
70213238;Monty Python's Flying Circus;Britannique,Séries comiques;False;1
70217931;Les Real Housewives de Beverly Hills;Téléréalité,Séries US;False;2
70218756;Ted;Films comiques;False;1
70230640;Django Unchained;Drames,Westerns,Drames sociaux,Drames primés;False;1
70234488;Yakari;Pour enfants,Belge,Séries inspirées de livres,Dessins animés,Séries inspirées de B.D.;False;3
70242311;Orange Is the New Black;Séries inspirées de livres,Séries comiques,Séries US,Séries inspirées de faits réels;True;4
70244166;Pitch Perfect;Films comiques,Films inspirés de livres,Comédies musicales;False;1
70244568;Code Lyoko;Pour enfants,Dessins animés;False;2
70245012;Full House;Coréen,Séries comiques,Séries comiques romantiques,Séries inspirées de B.D.;False;1
70252973;LEGO Ninjago : Les maîtres du Spinjitzu;Pour enfants,Danois,Dessins animés,Séries scandinaves;False;2
70259782;DreamWorks: Histoires courtes;Pour enfants,Séries pour la famille à voir ensemble,Séries comiques,Dessins animés;False;2
70259784;DreamWorks: Joyeux Noël de Madagascar;Pour enfants,Séries pour la famille à voir ensemble,Séries comiques,Dessins animés;False;1
70264888;Black Mirror;Britannique,Séries SF,Thrillers TV;True;7
70266998;Fairy Tail;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;4
70270408;Les Miller, une famille en herbe;Films comiques;False;1
70272726;The Fall;Britannique,Séries policières,Thrillers TV;False;4
70281312;Blacklist;Séries policières,Séries US,Thrillers TV;False;7
70281343;Les sirènes de Mako;Pour enfants,Australien;False;2
70281562;Brooklyn Nine-Nine;Sitcoms,Séries comiques,Séries policières,Séries US;False;7
70283264;Les 100;Séries politiques,Séries SF,Séries inspirées de livres,Séries d'action et d'aventure,Séries US;False;8
70285581;Outlander;Séries politiques,Séries inspirées de livres,Séries d'action et d'aventure,Séries US,Séries fantastiques;True;9
70286901;Masha et Michka;Pour enfants,Russe,Dessins animés;False;2
70288408;Les nouvelles aventures de Lucky Luke;Pour enfants,Séries comiques,Dessins animés,Séries inspirées de B.D.;False;3
70295080;LOL (Laughing Out Loud) ®;Français,Comédies romantiques,Films comiques,Films romantiques;False;2
70299043;L'Attaque des Titans;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;2
70300472;Hunter X Hunter (2011);Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;False;2
70300800;BoJack Horseman;Sitcoms,Séries comiques,Séries US;True;2
70301870;Vikings;Séries politiques,Canadien,Séries d'action et d'aventure,Films d'époque;False;6
