ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
60021103;Animes SF et fantastique inspirés de mangas;Akira;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUt1VbNw7Ti_xWwMwz0iOgoZZU2d7L858h8BmoDZMq3lfV_cSrc9ZhlnQzwKOF4-3UBh_JHQ2FNkscNpCHNqJoY4YjRJeyqmVNc.webp?r=c59;1988;2 h 4 min;;16+;Dans ce film d'animation tiré de la série de mangas, deux amis d'enfance entraînés dans les bas-fonds de Neo Tokyo luttent pour leur survie.;violence, violence sexuelle;0;Katsuhiro Otomo;Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tessho Genda,Hiroshi Otake,Koichi Kitamura,Michihiro Ikemizu,Yuriko Fuchizaki,Masaaki Okura,Taro Arakawa,Takeshi Kusao,Kazuhiro Shinto,Tatsuhiko Nakamura,Fukue Ito,Taro Ishida,Mizuho Suzuki;Katsuhiro Otomo,Izo Hashimoto;Anime SF et fantastique,Anime d'action,Films SF,Japonais,Films d'animation;;70019062,81030627,80001305,70019060,70202899,80023687,70028883,80991903,81091393,80243876,60027393,60032294,60023642,80995578,60024788,80014749,80115466,70308852,80185760,81409869,81033445,28630857,80149259,80174974,70299043,81249833;False;1
60028308;Les trouvailles du jour pour vous;Robin des Bois, prince des voleurs;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfTeBBNoWZDkHZrXGDyigi-Z-aYOm0LrE5E6KeGyqk2TKz7zSMJOHih9Vu6lTiLfqH60TRyl8qki4UXMvmJKMwZ9_48xVb26V-w.webp?r=4ed;1991;2 h 22 min;Nouveau;16+;Quand l'ignoble shérif de Nottingham assassine le père de Robin des Bois, le légendaire hors-la-loi jure de se venger et rejoint une bande de villageois en exil.;violence sexuelle;0;Kevin Reynolds;Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,Alan Rickman,Michael McShane,Geraldine McEwan,Nick Brimble,Brian Blessed,Michael Wincott;Pen Densham,John Watson;Films romantiques,Films d'époque,Films d'action;Montée d'adrénaline;60020626,60011663,20559714,81582615,70099790,80017529,70056430,60011152,60022974,60001044,80197619,81035551,81603987,70305899,5670479,80182016,70189304,70208104,80013871,80098202,505789,80133543,70111323,60026139,70056440,80014727;False;1
70020509;Les trouvailles du jour pour vous;Heat;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXScspTu6bFwy1nQKTxjHcKNG-3fvmQxCzlIb9X7Mo0Q0ZfrKUimMMhGWLt0UMx1Hg7YSiHfb-7MekyBCfIrN0NvVbbTZtFpYZc.webp?r=a4a;1995;2 h 50 min;Nouveau;16+;Un braquage tourne mal, donnant lieu à un dangereux jeu du chat et de la souris entre un génie du crime et un inspecteur dur à cuire prêt à tout pour l'attraper.;violence, violence sexuelle, suicide;0;Michael Mann;Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi;Michael Mann;Films policiers,Policiers d'action,Films d'action;Violent;81030627,1151721,80017529,70056430,80190534,80111425,81279324,70243460,80170988,60022974,18907685,70044379,81249833,81370440,80236390,60028308,81152992,70189304,80071227,70208104,80013871,80098202,70305892,60026139,60029681,81612863;False;1
70035035;Animes inspirés de mangas;Mes voisins les Yamada;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABSPC94jMuFE2euD4q70p6FkYndcGpEgB9Voxj_9G6-sVyg8GV_fiBIhC4BXGVRqnrvaH2eitQkXAI7ZlHEwtjd295mhmdRxvvkY.webp?r=4ec;1999;1 h 43 min;;10+;Nonoko Yamada, 5 ans, et le reste de sa famille déjantée naviguent entre des aventures imaginaires et les aléas du quotidien dans un Japon moderne.;;0;Isao Takahata;Yukiji Asaoka,Toru Masuoka,Masako Araki,Naomi Uno,Hayato Isohata,Akiko Yano;;Japonais,Films d'animation,Films d'animation japonaise;Bonne humeur,Décalé;81316559,70293674,70019062,70106454,80036398,70142821,70019060,81328781,70216227,80092922,70028883,70262786,70045021,60027393,60032294,80158668,60023642,81281872,81143068,70019058,70109889,70035036,60027106,28630857,80013552,80234491;False;1
70049481;Films d'époque Émotion;Le trésor d'Arne;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZ2vKAKVWmET1mF_vGxFOz3GLQNjuIdhydrq3UJfdMwnEVbPNdqFWW2FLDPdkfL_OSHSh0Bk88c2zwkYG8d6w6IU0EyBETcDyi4.webp?r=2ba;1919;1 h 48 min;;13+;Dans cette histoire d'amour tragique de la Suède du XVIe siècle, une jeune fille réchappe au massacre de sa famille avant de croiser la route de l'un des meurtriers.;;0;Mauritz Stiller;Erik Stocklassa,Bror Berger,Richard Lund,Axel Nilsson,Hjalmar Selander,Concordia Selander,Gösta Gustafson,Mary Johnson,Wanda Rothgardt;Gustaf Molander,Mauritz Stiller;Suédois,Drames,Films romantiques,Films inspirés de livres,Films d'époque;Émotion,Romantique;81582615,81382073,81410649,81336431,60034816,81471386,81481539,81453541,80235267,70101535,81424068,81564749,81506575,81387067,70213223,81417796,80182016,81382174,268371,81365134,81205314,81045305;False;1
70056430;Les trouvailles du jour pour vous;Shooter, tireur d'élite;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABY2LxSUl-VjBeGmcL_WYRxKSWeouNJ3HWJBNtv9AeJPg0n5gKkDlZhiX79WC636u_Z1GzW-feyW34v0GSPAR47zxrDLRnQhFfmHFdsaJL76Wwx8DGulajnmHYSmGLa__qfFooQ51F8PnFr_-Dm0GTdG6HGkqVqTmpo0.webp?r=098;2007;2 h 6 min;Nouveau;16+;Un tireur d'élite est arraché à sa vie solitaire par des collègues qui ont besoin d'aide pour arrêter un complot contre le président, mais tout cela n'est qu'un piège.;violence;1;Antoine Fuqua;Mark Wahlberg,Michael Peña,Danny Glover,Kate Mara,Elias Koteas,Rhona Mitra,Jonathan Walker,Louis Ferreira,Rade Serbedzija,Tate Donovan,Mackenzie Gray,Ned Beatty;Jonathan Lemkin;Intrigues,Films inspirés de livres,Films d'action;Suspense;70143836,81030627,70264801,80017529,80190534,80111425,81279324,70020509,60022974,60029196,70301870,81458368,81370440,80236390,60028308,70189304,80071227,70208104,70281312,80013871,81073022,80098202,70305892,80133543,60026139,81612863;False;1
70101535;Films d'époque Émotion;Les Proscrits;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQXvOYDmUA62TOuoVYQOg_wyQ-PqBR54OEH1KVjhdB1gPh6pnMpLxNyBnu2EmuS4NCvS1yU7cabF-FXPATEFi1l3qIM3AWKzShc.webp?r=3c0;1918;1 h 50 min;;13+;Ce double programme comprend un film muet de 1918 réalisé et interprété par Victor Sjöström, ainsi qu'un documentaire de 1981 sur le réalisateur signé Gösta Werner.;;0;Victor Sjöström;Victor Sjöström,Edith Erastoff,John Ekman,Jenny Tschernichin-Larsson,Artur Rolén,Nils Ahrén,William Larsson;Victor Sjöström;Suédois,Films inspirés d'une pièce de théâtre,Drames,Films romantiques,Films d'époque;Émotion,Romantique;81582615,81410649,60034816,80174263,81481539,81064867,81453541,81382060,81144852,80175798,81564749,81564732,18907685,81387067,80182016,81166791,268371,81166149,81140933,81444818,81365134,81435930,81205314,81045305;False;1
70125931;Les trouvailles du jour pour vous;Karaté Kid;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVX-EprGxniGBs8g-NtQMyBAE4kXcEVaJeUx9Qs2DgLSK_f8GzFW8LeBPR-Lk7CV51bE2BmgMEwFDf9OaUIkFsm_N4rzTlQ468w.webp?r=f3f;2010;2 h 20 min;Recommandé à 80 %;10+;Dans ce remake du classique de 1984, Dre part en Chine et devient la victime d'une brute. Il apprend alors à se défendre sous l'égide d'un modeste maître de kung-fu.;;0;Harald Zwart;Jaden Smith,Jackie Chan,Taraji P. Henson,Wenwen Han,Yu Rongguang,Zhensu Wu,Zhiheng Wang,Zhenwei Wang,Shijia Lü,Yi Zhao;Robert Mark Kamen,Christopher Murphey;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;;70002007,60022058,60027689,60034572,70033005,80241136,70267728,986399,600346,81023618,81427442,81616116,80204447,81011712,60020686,70243449,60031264,80071348,81026605,70021640,70298991,80002924,70047102,28631029,81024153,80994666;False;1
70136120;Séries incontournables|Séries comiques|Séries avec distribution d'ensemble|Séries nostalgie|Séries saluées par la critique|Séries US doublées en français|Les trouvailles du jour pour vous|Séries primées;The Office (US);occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZfQiC4A7fdqWHd3pogv-bo97q_A1M_OkIOWzLm3mNFxpjxsSg7LOICRd--nJ9sDBOSjybWqayL3Rj562vArOGiYSLZfJKNqPmk.webp?r=4fc;2012;9 Saisons;Recommandé à 92 %;13+;Cette comédie à succès dépeint les travers des employés de bureau grognons de l'entreprise de vente de papier Dunder Mifflin et de leur patron, le naïf Michael Scott.;;0;;Steve Carell,John Krasinski,Jenna Fischer,Rainn Wilson,B.J. Novak,Ed Helms,Brian Baumgartner,David Denman,Creed Bratton,Kate Flannery,Mindy Kaling,Angela Kinsey,Paul Lieberstein,Oscar Nuñez,Phyllis Smith;;Sitcoms,Séries comiques,Séries US;;70153373,81435370,81516751,81459281,81468289,70195800,70143830,81288370,81165134,80027158,215309,80025384,70208247,70155618,80014749,70167068,70153404,70270408,81161789,70113002,70167070,81194505,70171942,70155589,70281562,70028904,81270678,81021929;False;11
70136140;Séries jeunesse et famille;Star Trek;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeoAp1XmmoJvAQ7ch0KPR6VH6KnEsVYZsDwYgS-8X94A5H0XZ1xvmDa4f4trWB2vq1V93EAIB6e5FuHqsgMkToCZ09qNQ2i7odU.webp?r=8e7;1968;3 Saisons;Recommandé à 55 %;7+;Mené par l'imperturbable capitaine Kirk, l'équipage de l'Enterprise part à la découverte de nouveaux univers dans les profondeurs de la galaxie.;;0;;William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,James Doohan,George Takei,Walter Koenig,Grace Lee Whitney,Majel Barrett;;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;Suspense;81030627,60024918,81057361,70251536,70305903,70283264,81194641,60022974,80221410,80236314,60010110,60023071,60028308,80014749,80027042,80170280,81010971,60001650,81094067,80133543,60002360,20559714,81249833;False;1
70140438;Séries internationales|Séries;Skins;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWga9lTeokw-Q01JHMPKvVL-kEJrgufirnhKoW8KwwoyhCpObc3wML8RfKLBYcyD_A5SSK8lG_rUSDu2xihw25QEsDI7bW98l9M.webp?r=9b8;2013;7 Saisons;Recommandé à 79 %;16+;Cette série réaliste suit le quotidien d'un groupe de jeunes paumés et attachants, leurs amitiés et leurs tourments, dans leurs deux dernières années au lycée.;sexe;0;;Kaya Scodelario,Hannah Murray,Jack O'Connell,Kathryn Prescott,Lily Loveless,Nicholas Hoult,Joe Dempsie,Mike Bailey,April Pearson,Will Merrick,Freya Mavor,Laya Lewis,Ollie Barbieri,Dakota Blue Richards,Sean Teale,Larissa Wilson,Dev Patel,Mitch Hewer,Luke Pasqualino,Giles Thomas;;Séries dramatiques,Britannique,Séries pour ados;Insolite;70143836,80117551,70118769,81140933,80169498,81349306,80197989,60024922,81307103,80100054,70155618,80176893,80211686,80201590,80171659;False;2
70142382;Téléréalité|Séries nostalgie;Laguna Beach: The Real Orange County;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcWKutqFv4ZoBsXPY5vdZ8yWVIXgZTIDWFSfYI1NA_p3NvabiAaNyU67Myqu3l9_56Atg5fwx-RyczZ_UMsiq7D2xduFbCzdHWE.webp?r=815;2005;2 Saisons;;10+;Dans la ville opulente de Laguna Beach, en Californie, une bande de lycéens jongle entre histoires de cœur, pression sociale et décisions cruciales pour l'avenir.;;0;;Lauren Conrad,Kristin Cavallari,Tessa Keller,Stephen Colletti,Talan Torriero,Taylor Cole,Alex Murrel,Lauren Bosworth,Jessica Smith;;Séries pour ados,Téléréalité,Séries US;Romantique;70234677,81307101,81447330,80993568,81441828,81019909,81109061,70153388,70217931,81228402,81341222,81512574,81425251,81417684,81175724,80185178,70142384,81456532;False;2
70142384;Téléréalité pour se distraire|Téléréalité|Séries nostalgie;The Hills;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfRE4k5xtsfA6oKJ0wzFCHD8KeIZuNPjPeRRt00u7Fb65GIWSCj1U1kJB5daA3tv8i1YMtC_tV1sqs4e9ufSvF4q2r3cuVdQ0tc.webp?r=28c;2007;2 Saisons;;7+;"Ce spin-off de l'émission ""Laguna Beach"" suit les péripéties professionnelles et amoureuses d'un groupe de jeunes femmes menant la grande vie à Los Angeles.";;0;;Audrina Patridge,Heidi Montag,Lauren Conrad,Whitney Port,Kristin Cavallari,Stephanie Pratt,Spencer Pratt,Lauren Bosworth,Justin Brescia;;Séries pour ados,Téléréalité,Séries US,Style de vie;;81108694,81312532,70142382,81441828,81019909,81228402,70153388,70217931,81109061,81341222,81512574,81425251,81417684,81383117,70234677,81456532;False;3
