Source;Target
1179053;18907685
1179053;60011152
1179053;70305907
1179053;80017529
1179053;60024942
1179053;60028308
1179053;994992
1179053;70104313
1179053;70114497
1179053;81064867
1179053;80207506
1179053;81242205
1179053;81564732
1179053;60026139
1179053;81580045
1179053;81115160
1179053;70243460
1179053;80013871
1179053;268371
1179053;70201437
1179053;60000417
1179053;81577050
1179053;693960
1179053;1152837
1179053;70130445
1179053;80190534
18962448;81128745
18962448;80992607
18962448;80017529
18962448;80081151
18962448;70114497
18962448;70119811
18962448;80207506
18962448;81580045
18962448;70285581
18962448;81476183
18962448;70301350
18962448;80210920
18962448;80073823
18962448;18171073
18962448;80241318
18962448;80223927
18962448;80179190
18962448;268371
18962448;81577050
18962448;60022967
18962448;693960
18962448;80128245
18962448;81030213
18962448;81590491
18962448;81028975
18962448;81408600
20559714;81044417
20559714;60001650
20559714;70127226
20559714;80017529
20559714;70178621
20559714;81152992
20559714;5670479
20559714;81161789
20559714;70305899
20559714;70056430
20559714;70108779
20559714;70056440
20559714;60036256
20559714;81004278
20559714;80237937
20559714;70217910
20559714;80093133
20559714;60004473
20559714;80098202
20559714;80029196
20559714;70111323
20559714;80161352
20559714;80091595
20559714;60002360
28631029;80233925
28631029;70113007
28631029;80002924
28631029;70141972
28631029;60027689
28631029;60021788
28631029;81026605
28631029;600346
28631029;70041962
28631029;81475311
28631029;70002007
28631029;81011712
28631029;986399
28631029;70125931
28631029;60034572
28631029;81616116
28631029;70243449
28631029;60020686
28631029;60031264
28631029;70057253
28631029;60034386
28631029;70033005
28631029;81023618
28631029;70220028
445386;80131194
445386;70167075
445386;81388078
445386;70178624
445386;80169498
445386;70295080
445386;80013872
445386;70144327
445386;384406
445386;70136041
445386;80143556
445386;60034573
445386;81623358
445386;70103759
445386;81580045
445386;81043665
445386;80075010
445386;70045854
445386;70045283
445386;80179190
445386;80221908
445386;70167068
445386;81140933
445386;693960
445386;80057784
445386;81041317
505789;60011152
505789;80017529
505789;60020626
505789;445386
505789;60028308
505789;873159
505789;81135138
505789;81663277
505789;81161372
505789;70119811
505789;80207506
505789;70058017
505789;80176893
505789;81580045
505789;81557402
505789;81397077
505789;80182016
505789;80190859
505789;80013871
505789;81582615
505789;81577050
505789;693960
505789;70111323
505789;1152837
505789;60001044
505789;81104904
60000417;60011152
60000417;80017529
60000417;60024942
60000417;445386
60000417;60024922
60000417;80081151
60000417;994992
60000417;70230640
60000417;70104313
60000417;81135138
60000417;70114497
60000417;70119811
60000417;80207506
60000417;81660544
60000417;70044605
60000417;70243460
60000417;70135893
60000417;80013871
60000417;70243453
60000417;268371
60000417;81092221
60000417;80058397
60000417;81239779
60000417;60029681
60000417;80190534
60000417;70305903
60001650;81152992
60001650;70125231
60001650;81161789
60001650;81161626
60001650;60036230
60001650;70056430
60001650;60024059
60001650;60010110
60001650;70208247
60001650;81165134
60001650;81309354
60001650;60034587
60001650;70123711
60001650;20559714
60001650;215318
60001650;215309
60001650;80037476
60001650;70047101
60001650;70097577
60001650;80094318
60001650;80029196
60001650;60004481
60001650;70060015
60002360;81044417
60002360;60001650
60002360;70127226
60002360;70178621
60002360;81161789
60002360;22013422
60002360;80993105
60002360;70108779
60002360;81073022
60002360;60010110
60002360;81165134
60002360;60036256
60002360;70099790
60002360;20559714
60002360;81004278
60002360;80237937
60002360;80037476
60002360;80170280
60002360;80093133
60002360;80014749
60002360;60020549
60002360;80091595
60002360;80216309
60003388;80235928
60003388;60001650
60003388;70143830
60003388;60021783
60003388;70058024
60003388;81161626
60003388;81064867
60003388;70208247
60003388;81458416
60003388;81165134
60003388;70123711
60003388;80015343
60003388;80121192
60003388;80200487
60003388;70153404
60003388;80014749
60003388;70058008
60003388;80200267
60003388;70011211
60003388;70270408
60003388;70136120
60003388;70167068
60003388;80079256
60003388;80142090
60003388;80075560
60003388;81290742
60004481;81044417
60004481;60001650
60004481;81444051
60004481;70178621
60004481;81161789
60004481;80117445
60004481;70056430
60004481;81073022
60004481;70208247
60004481;70021642
60004481;70123711
60004481;81004278
60004481;81030627
60004481;80037476
60004481;80237937
60004481;80241318
60004481;80014749
