Id;Label;Genres;Netflix_original;Nombre_occurrence
1151721;Donnie Brasco;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;False;1
1179053;Sept ans au Tibet;Drames,Films inspirés de faits réels;False;1
18962448;Aussi profond que l'océan;Drames,Films inspirés de livres;False;1
20559714;La Momie;Films d'action;False;4
22013422;Peur bleue;Films SF,Films d'horreur,Films d'action;False;1
28630857;Princesse Mononoké;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;False;1
328438;Boyz'n the Hood, la loi de la rue;Drames,Drames sociaux,Drames primés;False;1
445386;Dirty Dancing;Drames,Films romantiques,Drames primés;False;2
505789;Lancelot, le premier chevalier;Drames,Films romantiques,Films d'époque;False;1
60000417;La Ligne verte;Drames,Films inspirés de livres,Drames primés;False;4
60001650;Men in Black;Films SF,Comédies,Films d'action;False;3
60002360;Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;3
60003388;Snatch;Britannique,Comédies;False;2
60004481;Spider-Man;Films SF,Films d'action;False;1
60010110;Retour vers le futur;Films pour la famille,Films SF,Aventures en famille,Comédies;False;1
60011152;Le Parrain;Drames,Films inspirés de livres,Drames primés;False;1
60011663;Le Parrain 2;Drames,Films inspirés de livres,Drames primés;False;1
60020686;Shrek;Films pour la famille,Films jeunesse et famille,Aventures en famille,Satires,Comédies;False;2
60021103;Akira;Anime SF et fantastique,Anime d'action,Films SF,Japonais,Films d'animation;False;1
60023597;MIIB;Films SF,Comédies,Films d'action;False;1
60023619;xXx;Films d'espionnage,Films d'action;False;1
60023642;Le Voyage de Chihiro;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;2
60024059;Retour vers le futur 3;Films pour la famille,Films jeunesse et famille,Films SF,Aventures en famille,Comédies;False;1
60024922;8 Mile;Musique,Drames,Culture Hip-hop,Drames sociaux;False;2
60024942;Arrête-moi si tu peux;Films policiers,Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;3
60026139;Les larmes du soleil;Films sur l'armée,Films d'action;False;1
60027106;Kiki la petite sorcière;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
60027393;Le Château dans le ciel;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
60027486;Cube;Films SF,Canadien,Films indépendants,Films d'horreur,Thrillers;False;1
60029196;S.W.A.T. - Unité d'élite;Films policiers,Policiers d'action,Films d'action;False;1
60031264;Le Chat chapeauté;Films pour la famille,Films jeunesse et famille,Comédies,Films inspirés de livres;False;1
60032294;Mon voisin Totoro;Films pour la famille,Films jeunesse et famille,Japonais,Films d'animation,Films d'animation japonaise;False;2
600346;Hook ou la revanche du Capitaine Crochet;Films pour la famille,Films jeunesse et famille,Films inspirés d'une pièce de théâtre,Aventures en famille,Films inspirés de livres;False;1
60036752;Laisse parler ton cœur;Indien,Films en hindi,Films de Bollywood,Comédies romantiques,Drames;False;1
684660;Last Action Hero;Films SF,Comédies,Films d'action;False;1
70019062;Nausicaä de la vallée du vent;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
70020509;Heat;Films policiers,Policiers d'action,Films d'action;False;3
70021642;Batman Begins;Films d'action;False;1
70028883;Le Château ambulant;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;2
70032096;Peau d'âne;Français,Films romantiques,Films inspirés de livres,Comédies musicales;False;1
