ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
1151721;Inspiré de crimes réels;Donnie Brasco;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdcx_AkYISRhopbVLVhjMl4HNArTqR3SREn76mDkXj8MENOuE04Y7Y6BuFb-Ogzqtq_cF8Symp90cU2pJRM2Vp8KGxQzNzsRDqI.webp?r=da4;1997;2 h 6 min;;16+;Un agent du FBI sous couverture infiltre une famille de la mafia new-yorkaise et se lie d'amitié avec un tueur à gages, mettant son travail et sa vie en danger.;violence;0;Mike Newell;Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,James Russo,Anne Heche,Željko Ivanek,Gerry Becker,Zach Grenier,Robert Miano;Paul Attanasio;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;Suspense;18907685,60011152,80212934,60024942,328438,80240371,70230640,70189289,81135138,70056430,81161372,81064867,80207506,80175798,80121192,60011663,80017167,81603987,268371,80098202,60036246,70020509,1152837,80152434,60029681,80190534;False;1
1179053;Films d'action et d'aventure;Sept ans au Tibet;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQT1B5ejTvSWDIBlaTze6aHX3rsHsEoWcE9ucf9_gUXUVV1WQDmuzrRJpPz5O6dZXEmPAm6mZJ13_YWf6XWL6OKi3Rxhj6rkG_g.webp?r=87f;1997;2 h 16 min;;13+;Pendant la Seconde Guerre mondiale, l'évasion d'un alpiniste autrichien d'un camp de prisonniers le conduit jusqu'au Tibet où il se lie d'amitié avec le Dalaï-Lama.;;0;Jean-Jacques Annaud;Brad Pitt,David Thewlis,BD Wong,Mako,Danny Denzongpa,Victor Wong,Ingeborga Dapkunaite,Jamyang Jamtsho Wangchuk,Lhakpa Tsamchoe,Jetsun Pema;Becky Johnston;Drames,Films inspirés de faits réels;;18907685,60011152,70305907,80017529,60024942,60028308,994992,70104313,70114497,81064867,80207506,81242205,81564732,60026139,81580045,81115160,70243460,80013871,268371,70201437,60000417,81577050,693960,1152837,70130445,80190534;False;1
18962448;Drames;Aussi profond que l'océan;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWrxUAHzcVfmdguEUAYloHPSL8UWD9xN5kUxHV6XtqnBSW9-mNqmaL0p3PYAX6K3xTYRxqE2wk8DnDBDAamTkR45YHICAaVLatw.webp?r=1e4;1999;1 h 48 min;;13+;Une mère vit un cauchemar quand son fils âgé de 3 ans disparaît. Il revient de nulle part neuf ans plus tard, dans la ville où la famille a déménagé.;;0;Ulu Grosbard;Michelle Pfeiffer,Treat Williams,Whoopi Goldberg,Jonathan Jackson,Cory Buck,Ryan Merriman,Alexa PenaVega,Michael McGrady,Brenda Strong,Michael McElroy;Stephen Schiff;Drames,Films inspirés de livres;Sombre,Émotion;81128745,81211846,80992607,80017529,80081151,70114497,70119811,80207506,80049281,81580045,81476183,70301350,80210920,80073823,18171073,80241318,80179190,268371,81577050,60022967,693960,80128245,81030213,81028975,80190534,80212986;False;1
20559714;Films d'action et d'aventure|SF et fantastique|Mondes épiques|Blockbusters;La Momie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc8hWT677gvOjcVpTA36hGw5DDIreTYkK1q6guF-FKSKtzMq0DVwZmq8yECh2dEVFHKPmSMHU11Oj2dlIYwfFd-GTlB-q07AO_E.webp?r=bcf;1999;2 h 4 min;;13+;Quand des archéologues américains réveillent accidentellement une momie maudite, un aventurier et une égyptologue maladroite doivent contenir l'esprit maléfique.;;0;Stephen Sommers;Brendan Fraser,Rachel Weisz,John Hannah,Oded Fehr,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Stephen Dunham,Bernard Fox,Omid Djalili;Stephen Sommers,Lloyd Fonvielle,Kevin Jarre;Films d'action;Montée d'adrénaline;81044417,60001650,70127226,80017529,70178621,81152992,5670479,81161789,70305899,70056430,70108779,70056440,60036256,81004278,80237937,70217910,80093133,60004473,80098202,80029196,70111323,80161352,80091595,60002360;False;4
22013422;Thrillers d'action;Peur bleue;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaboV5MVSVUI14zRw1UoLxI-4xzgx0fFbReGGp3cZ48auSja6ei4Td3HAekuvKCLyXb6tRSH16cDqqkGcb-qqTwqgde4UNIfBcc.webp?r=98a;1999;1 h 44 min;;16+;Des scientifiques menant une étude sur des requins pour soigner la maladie d'Alzheimer créent par erreur des spécimens gigantesques dotés d'une intelligence incroyable.;;0;Renny Harlin;Thomas Jane,Saffron Burrows,Samuel L. Jackson,Jacqueline McKenzie,Michael Rapaport,Stellan Skarsgård,LL Cool J,Aida Turturro,Cristos,Daniel Rey;Duncan Kennedy,Wayne Powers,Donna Powers;Films SF,Films d'horreur,Films d'action;Effrayant,Suspense;81044417,81189449,60027996,81198998,80017529,81444051,70056430,70108779,81021447,60036256,81081050,81004278,80237937,60004473,80094622,80091595,80029196,80196789,60001220,70028905,80245041,80216309,70060015,60024918,81183718,60002360;False;1
28630857;Anime;Princesse Mononoké;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXQNOFUpGQn7Fl5Xk8n7Dbbf4Eu_qo8ZF0VArDUZylZTysRnaxrtmbpHhKdxwU_KK9jIKQ72w4P2lUNM9pUUIhKXB2bsgZ4Hd8U.webp?r=6ea;1997;2 h 14 min;;13+;Parti en quête d'un remède, un prince affecté par un mal fatal se retrouve dans une contrée où se livre une bataille entre une ville minière et les animaux de la forêt.;;0;Hayao Miyazaki;Yoji Matsuda,Yuriko Ishida,Yuko Tanaka,Kaoru Kobayashi,Masahiko Nishimura,Tsunehiko Kamijo,Sumi Shimamoto,Tetsu Watanabe,Makoto Sato,Akira Nagoya,Akihiro Miwa,Mitsuko Mori,Hisaya Morishige;;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;Doux-amer;70035036,60021103,70262786,81478031,80233883,70019062,70019060,60032294,70106454,70028883,81281872,60023642,70216227,70142821,70293674,80036398,81093113,70045021,60027393,81249833,80092922,80013552,81328781,70019058,80158668,60027106;False;1
328438;Drames;Boyz'n the Hood, la loi de la rue;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUDoaqIV3VdY_30zy5M2P9kfazLcWMg4kMCF_Uv0JCydwidVGmUPiH3_dQOcv3dnvcdAK8Hzf-EVghaT2F8iDM2ulJ2dCNj5tGU.webp?r=939;1991;1 h 52 min;;16+;Un lycéen qui vit avec son père dur mais aimant s'empêtre dans les problèmes de violence, de gangs et de drogue qui sévissent dans les quartiers dangereux de Los Angeles.;violence;0;John Singleton;Ice Cube,Cuba Gooding Jr.,Laurence Fishburne,Angela Bassett,Morris Chestnut,Nia Long,Tyra Ferrell,Redge Green,Dedrick D. Gobert,Baha Jackson,Desi Arnez Hines II;John Singleton;Drames,Drames sociaux,Drames primés;Sombre,Émotion;80096984,60011152,80999009,1151721,60024942,60024922,994992,80226923,80216302,81135138,80217669,70119811,80207506,60026139,80097391,60011663,80074781,60020749,80242342,80177416,80013871,60000417,81092221,80058397,81121351,60029681;False;1
445386;Pépites pour vous|Drames;Dirty Dancing;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcfYpvu6z4FUT-lhaNFy24VgEHzciRIUB0h65Rhs5czaOzPNQV_btV3C1zIeAWyRTweRQEn4og-K9aiajnT4FPpSCegh4NxIk6U.webp?r=a2d;1987;1 h 40 min;;13+;Alors qu'elle passe l'été en montagne avec sa famille, une timide adolescente tombe amoureuse du professeur de danse du centre de vacances, un homme libre et audacieux.;;0;Emile Ardolino;Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes,Jack Weston,Jane Brucker,Kelly Bishop,Lonny Price,Max Cantor,Charles 'Honi' Coles;Eleanor Bergstein;Drames,Films romantiques,Drames primés;Sentimental,Romantique;80131194,70167075,81388078,70178624,80169498,70295080,80013872,70144327,384406,70136041,80143556,60034573,81623358,70103759,81580045,81043665,80075010,70045854,70045283,80179190,80221908,70167068,81140933,693960,80057784,81041317;False;2
505789;Drames;Lancelot, le premier chevalier;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTz-5RM3RGz0Dm7v1kAZo5Bi-gFSC6uBbRY21E6kkY3PNk0Jt3MrppaYqgTLVnzblKFmXfW3wT0ezSQpaRkR0_Opg8MNNt4phtQ.webp?r=977;1995;2 h 13 min;;13+;S'étant vu offrir une place à la Table ronde, Lancelot doit concilier sa loyauté au trône et son amour pour la reine Guenièvre, épouse du roi Arthur.;;0;Jerry Zucker;Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud;Lorne Cameron,David Hoselton,William Nicholson;Drames,Films romantiques,Films d'époque;Romantique;60011152,80017529,60020626,445386,60028308,873159,81135138,81663277,81161372,70119811,80207506,70058017,80176893,81580045,81557402,81397077,80182016,80190859,80013871,81582615,81577050,693960,70111323,1152837,60001044,81104904;False;1
60000417;Pépites pour vous|Drames|Blockbusters;La Ligne verte;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABd3dClWdcGtbkTj8pNyNcRN9Xt5hcJMA-OmmDgrBXIW40h2d42DtIWccndtyRHts9p8TVBxXOhnY8yE89Pd3Jf1TSha2wpgKPUg.webp?r=529;1999;3 h 8 min;;16+;Lorsqu'un gardien de prison découvre qu'un condamné à mort possède de mystérieux pouvoirs, il essaie désespérément d'empêcher son exécution.;violence;0;Frank Darabont;Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Gary Sinise;Frank Darabont;Drames,Films inspirés de livres,Drames primés;Émotion;60011152,80017529,60024942,445386,60024922,80081151,994992,70230640,70104313,81135138,70114497,70119811,80207506,81660544,70044605,70243460,70135893,80013871,70243453,268371,81092221,80058397,81239779,60029681,80190534,70305903;False;4
60001650;SF et fantastique|Mondes épiques|Blockbusters;Men in Black;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcamGmVUuGn_r8aKlmElCZ98Dhc5gBu3WCboancj0Kz8d6cNKpAW0RqBDEBZQA0husRV_O6T0ASAFx72J7iBKYgggb3YDTaCh3M.webp?r=6a6;1997;1 h 37 min;;13+;Un bouillant policier new-yorkais forme avec un agent du gouvernement pragmatique une équipe top secrète dont la mission consiste à surveiller les aliens sur Terre.;;0;Barry Sonnenfeld;Will Smith,Tommy Lee Jones,Linda Fiorentino,Vincent D'Onofrio,Rip Torn,Tony Shalhoub,Siobhan Fallon Hogan,Mike Nussbaum,Jon Gries,Sergio Calderón;Ed Solomon;Films SF,Comédies,Films d'action;;81152992,70125231,81161789,81161626,60036230,70056430,60024059,60010110,70208247,81165134,81309354,60034587,70123711,20559714,215318,215309,80037476,70047101,70097577,80094318,80029196,60004481,70060015;False;3
