categorie;titres;ID;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations
Anime;Demon Slayer: Kimetsu no Yaiba;81091393;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABU92YYv-qQBD8aikoNFaOH0ofkrQsh7ApzM5grAxgLIBJoSRjO_gmZcYQXpZKo7xXnF8moqS8QdT16WxYBfAm5qm9cIiSIxi5hQ.webp?r=54a;2021;3 Saisons;Recommandé à 97 %;16+;Tanjiro se lance dans un périlleux voyage pour venger sa famille massacrée par un démon et délivrer sa sœur d'un mauvais sort.;violence;False;;Natsuki Hanae,Akari Kito,Hiro Shimono,Yoshitsugu Matsuoka,Takahiro Sakurai,Hochu Otsuka,Yuki Kaji,Ai Kakuma,Nobuhiko Okamoto,Toshiyuki Morikawa,Aoi Yuki,Shiori Izawa,Daisuke Namikawa,Takumi Yamazaki,Hikaru Midorikawa,Takehito Koyasu,Satoshi Hino,Daisuke Hirakawa,Akira Ishida,Katsuyuki Konishi,Miyuki Sawashiro,Ryota Osaka,Kengo Kawanishi,Kana Hanazawa,Toshio Furukawa,Kohsuke Toriumi;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;Sombre;70300472,70299043,81281579,80050063,81228573,80023687,80045948,81249833,80200989,80204451,70205012,70266998,80175351,81302750,80995578,81177634,81236338,80191008,80000603,81080523,81054853,80179831,80090370,81239555,81295011,80095241
Anime;Naruto;70205012;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWZcQmHJ1lEhQlWPuxBEZpZ-mDlMqGqw1Iq3Fhrm-RIWjXCVLMThp3D7Bh_DA9O6xAFLqYVLHU3ObFdr5lelqhQmz_2VHAk3h94.webp?r=777;2006;9 Saisons;Recommandé à 96 %;13+;Cette série animée suit les aventures de Naruto, un orphelin qui puise dans sa force intérieure et l'esprit démoniaque qui l'habite pour devenir ninja.;;False;;Junko Takeuchi,Chie Nakamura,Noriaki Sugiyama,Kazuhiko Inoue,Ryoka Yuzuki,Showtaro Morikubo,Kentaro Ito,Koichi Tochika,Nana Mizuki,Toshihiko Seki,Hidekatsu Shibata,Masako Katsuki;;Anime SF et fantastique,Anime d'action,Séries pour la famille à voir ensemble,Japonais,Séries d'animation japonaise;Décalé;80000603,81080523,80037677,81091393,70300472,70142405,80050063,70299043,80045948,70266998,80204451,81249833,70297439,70177034,80198142,80995578,81302750,81228573,81281872,80027042,81263946,81236338,80023687,81281579,80186926,80191008
Anime;L'Attaque des Titans;70299043;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABSDDIpk9mmVFngOn1k3A43OlrcitaVgVVCpk_x52XLliPxv9rnS6_F-x_PX8W7C_sTlzd3IhlOZ1T2kpX1w7QPnLkG8SzpBRtrk.webp?r=ae2;2019;2 Saisons;Recommandé à 96 %;16+;Témoin du massacre de sa ville natale, le jeune Eren Yeager décide de prendre sa revanche et de tuer les géants qui menacent d'exterminer l'humanité.;violence, automutilation;False;;Yuki Kaji,Yui Ishikawa,Marina Inoue,Kisho Taniyama,Yu Shimamura,Yu Kobayashi,Shiori Mikami,Hiro Shimono,Ryota Osaka,Yoshimasa Hosoya,Tomohisa Hashizume,Saki Fujita,Hiroshi Kamiya,Daisuke Ono,Romi Park,Keiji Fujiwara,Kazuhiro Yamaji,Yusaku Yara,Takehito Koyasu,Ayane Sakura,Natsuki Hanae;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;Sombre;81091393,80045948,80023687,70300472,81249833,70204980,81281579,80204451,80050063,80179831,70205012,80191008,81054853,80175351,70266998,80000603,80117781,80095241,80995578,81295011,70142405,81228573,81236338,81435684,80243876,81080523
Anime;Hunter X Hunter (2011);70300472;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTKg-LnhXgbcbw8bByNcspRY3GyWiBksgo41zbxIS4YdNZrt2CqoyOOsQAFvORZblDLodW-FhVo0-GykhMJ3QmolsJQgoY2zcPM.webp?r=6ea;2014;6 Saisons;Recommandé à 95 %;16+;Pour réaliser son rêve et devenir un Hunter de légende comme son père, un jeune garçon décide de passer un examen très difficile et de partir à sa recherche.;;False;;Megumi Han,Mariya Ise,Keiji Fujiwara,Miyuki Sawashiro,Daisuke Namikawa;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;;81091393,80045948,80050063,70266998,70299043,81249833,81281579,81239555,80204451,80023687,70205012,70204980,80179831,80191008,80995578,80200989,81054853,80000603,80052669,80117781,81080523,81236338,81177634,80175351,80011358,80090370
Anime;Naruto Shippuden;80000603;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdauDHbMned3XYkR-3AytfOaXrrhY8EquEwlY9AGh3IMvmooJQdXQ2tDdT6B5ESmGQkjhpK2ZfZfg_jjWXZzsi8CvSMIymnuqJs.webp?r=8e4;2017;21 Saisons;Recommandé à 95 %;13+;Naruto Uzumaki rentre chez lui après deux ans d'entraînement intensif et s'associe à Sakura Haruno pour combattre une organisation malfaisante.;;False;;Junko Takeuchi,Chie Nakamura,Kazuhiko Inoue,Noriaki Sugiyama,Masako Katsuki,Akira Ishida,Tomomichi Nishimura,Yurika Hino,Hideaki Tezuka;;Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;Décalé;70205012,80037677,81080523,81091393,70299043,80050063,70300472,80045948,70266998,80204451,80198142,81249833,81302750,81263946,80995578,81281579,80191008,70177034,81177634,70204980,81073022,80023687,80004762,81228573,81236338,80090370
Anime;The Seven Deadly Sins;80050063;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVzzYL67GjNI20lBGT_oiWEgTVtIDaEFdu-WPmtvA-a_mPrYCSxLewl4n2tYAd9_KF3ZqPlW8_YCDC9vU3bVELeTbxXrFT2cGkU4qyS1Lv_HhOT5S1qGL5sJ8pthT0gZcxES.jpg?r=90c;2021;5 Saisons;Recommandé à 93 %;13+;Quand son royaume est renversé par des tyrans, une princesse écartée du trône cherche à se rapprocher d'une bande de chevaliers surpuissants pour récupérer son fief.;;False;;Yuki Kaji,Sora Amamiya,Misaki Kuno,Aoi Yuki,Tatsuhisa Suzuki,Jun Fukuyama,Mamoru Miyano,Maaya Sakamoto,Yuhei Takagi,Tomokazu Sugita,Ryohei Kimura,Takahiro Sakurai,Yuuya Uchida,Katsuyuki Konishi,Rina Sato,Hiroki Touchi,Hiroshi Iwasaki,M・A・O,Daisuke Ono,Yusuke Kobayashi,Kenjiro Tsuda,Ayahi Takagaki,Shinshu Fuji,Jouji Nakata,Akira Ishida,Shun Horie,Satoshi Tsuruoka,Rintarou Nishi,Nana Mizuki,Kotori Koiwai,Sachi Kokuryu;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;;70300472,70266998,81091393,80200989,81281579,80023687,81281582,81249833,70299043,80204451,81177634,80045948,70205012,80191008,81239555,80198142,80004762,80011358,80095241,81228573,80000603,81054853,80179831
Anime;Ippo le challenger;80995578;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQE0H8itp9bF00eKFpLBQnlD1tnNuO16xpqhnZ-JpwBb00ZDZWmeUmKAu4doagn-EobyVm0rV02jef4Bl0x_wTtTlNggfzfpOjQ.webp?r=98a;2013;76 Épisodes;Recommandé à 93 %;13+;Sauvé de brutes par le boxeur professionnel Mamoru Takamura et poussé par le désir de devenir fort, le jeune Ippo Makunouchi se met à la boxe.;;False;;Kohei Kiyasu,Rikiya Koyama,Wataru Takagi,Kenji Utsumi,Keiji Fujiwara,Masaya Onosaka,Toshiyuki Morikawa,Tomokazu Seki;;Japonais,Séries d'animation japonaise,Anime dramatique,Anime sportifs,Séries inspirées de mangas;;80204451,81177634,80992228,81000388,80243876,81249833,81409869,81261669,81236338,81281579,81002441,80191008,70300472,81302750,81091393,70299043,80179831,80050063,81005375,70266998,80045948,81054853,80023687,70205012,80090370,80095241
Anime;Fairy Tail;70266998;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXcHWC2cLAZ21n6iupFLRr_15zz732FjFXre_OlwaCkE4OXiYypP92HJglGy8N7iC-zX_2R5RQhmBo5Zowvryps_zhABc0IMb8g.webp?r=d0c;2018;9 Saisons;Recommandé à 93 %;13+;Quatre jeunes sorciers unissent leurs forces pour mener des missions dans l'ensemble du royaume et forgent des liens plus puissants que la magie.;;False;;Tetsuya Kakihara,Aya Hirano,Rie Kugimiya,Yuichi Nakamura,Sayaka Ohara,Satomi Sato,Yui Horie,Shinpachi Tsuji,Ryoko Ono,Wataru Hatano,Hiroki Touchi,Mai Nakahara,Katsuyuki Konishi,Mamiko Noto,Akira Ishida,Hiroki Yasumoto,Eri Kitamura,Daisuke Kishio,Mariya Ise;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;Décalé;80198142,80004762,81261630,80045948,80050063,70300472,81091393,81239555,70299043,80023687,80052669,80011358,80200989,80000603,81318888,81281579,70205012,81249833,81263946,70204980,81080523,80191008,80175351,81302750,81228573,80117781
Anime;Détective Conan;80090370;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbKky-yBuCfVVOvXAr_1kDj00S_RK-x1IjcIYRbxC16t6bIDp2d6RTj15o4O6QuaWF5EU-E2Q9uYgV7io50iQc-bAapaWVZ0KuQ.webp?r=182;1999;4 Collections;Recommandé à 83 %;13+;Une terrible potion l'ayant fait redevenir enfant, le détective Conan résout de sombres affaires et mène l'enquête pour retrouver les criminels qui l'ont empoisonné.;;False;;Minami Takayama,Kappei Yamaguchi,Wakana Yamazaki,Rikiya Koyama,Kenichi Ogata,Megumi Hayashibara,Yukiko Iwai,Ikue Otani,Wataru Takagi,Chafurin;;Anime d'action,Japonais,Animation d'intrigue et thriller,Séries d'animation japonaise,Séries policières;Suspense;81091393,80117781,70299043,80045948,80179831,80000603,60023642,80237937,70266998,80172949,81073022,70205012,81249833,81005375,70300472,80023687,81499847,80175351,80200575,81261669,81275353,80037677,60001220,70205014
Anime;Valkyrie Apocalypse;81281579;http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUPKWi5hI1UeVY6AMerLgG_NJrY5p0IkOh4HHs6PD4iPeXHxAqWkmQOpQEqOpoKX-98OrHYSTaTlBN8IJEJDjB2dXs-t3_8YPt3ks6OMLfS6rLs0QMOS013SSg6HJU8efzgj.jpg?r=49a;2023;2 Saisons;Recommandé à 81 %;16+;Avant d'éradiquer l'humanité, les dieux décident d'accorder une dernière chance aux Hommes de prouver ce qu'ils valent. Que les combats du Ragnarok commencent !;violence;False;;Miyuki Sawashiro,Tomoyo Kurosawa,Tomokazu Seki,Soma Saito,Kazuhiro Yamaji,Hikaru Midorikawa,Wataru Takagi,Takahiro Sakurai,Junichi Suwabe,Yukihiro Nozuyama,Hinata Tadokoro,Taisuke Nakano,Tomohiro Yamaguchi,Tatsuhisa Suzuki,Rie Tanaka,Yoshitsugu Matsuoka,Sho Hayami;;Anime SF et fantastique,Anime d'action,Japonais,Séries d'animation japonaise,Séries inspirées de mangas;;80992228,81001988,81249833,80204451,81236338,81281582,81295011,80995578,81054853,81091393,80050063,80179831,81177634,80095241,70300472,81002441,80023687,80200989,70299043,81302750,81261669,81364944,81050064,80191008,81239555,70266998
