ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;nombre_occurrence;netflix_original
1151721;Inspiré de crimes réels|Thrillers;Donnie Brasco;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdcx_AkYISRhopbVLVhjMl4HNArTqR3SREn76mDkXj8MENOuE04Y7Y6BuFb-Ogzqtq_cF8Symp90cU2pJRM2Vp8KGxQzNzsRDqI.webp?r=da4;1997;2 h 6 min;;16+;Un agent du FBI sous couverture infiltre une famille de la mafia new-yorkaise et se lie d'amitié avec un tueur à gages, mettant son travail et sa vie en danger.;violence;0;Mike Newell;Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,James Russo,Anne Heche,Željko Ivanek,Gerry Becker,Zach Grenier,Robert Miano;Paul Attanasio;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;Suspense;80152434,80071227,80240371,81088494,1152837,880640,70189289,81198448,70230640,81576597,81064867,60036246,81135138,60024942,60029681,80200571,60011152,80212934,80121192,81161372,17405997,80017167,80175798,18907685,328438,81092221,268371;2;False
17405997;Drames;Will Hunting;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZuCzD2h2CLR6X5rdbh2VtgL6w9S-fRKK_SIVjmSlsK78dVDw-kIU0ydz6NCetSbf9p_TDcPtfKR35Mrsdf0VQxgKczcu_9o_KM.webp?r=a13;1997;2 h 6 min;Recommandé à 60 %;13+;Un professeur découvre que le concierge du MIT est un génie des maths et propose à un ami psychologue de l'aider à affronter les démons qui l'empêchent d'avancer.;;1;Gus Van Sant;Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,Minnie Driver,Casey Affleck,Cole Hauser,Rachel Majorowski,Colleen McCauley;Matt Damon,Ben Affleck;Drames,Drames primés;Sentimental,Doux-amer;70132721,70084788,81037684,880640,70135893,994992,70189289,60024922,70230640,81450757,81064867,693960,70114497,60024942,81140933,70201437,60000417,873159,60011152,70044605,70119811,18907685,268371,70305903,70019004,1179053;1;False
20559714;Blockbusters|Mondes épiques;La Momie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc8hWT677gvOjcVpTA36hGw5DDIreTYkK1q6guF-FKSKtzMq0DVwZmq8yECh2dEVFHKPmSMHU11Oj2dlIYwfFd-GTlB-q07AO_E.webp?r=bcf;1999;2 h 4 min;;13+;Quand des archéologues américains réveillent accidentellement une momie maudite, un aventurier et une égyptologue maladroite doivent contenir l'esprit maléfique.;;0;Stephen Sommers;Brendan Fraser,Rachel Weisz,John Hannah,Oded Fehr,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Stephen Dunham,Bernard Fox,Omid Djalili;Stephen Sommers,Lloyd Fonvielle,Kevin Jarre;Films d'action;Montée d'adrénaline;80029196,80133543,60036256,80237937,70056440,70178621,80216309,80161352,70108779,70127226,60029176,81004278,81161789,5670479,81073022,60001650,70305899,60020686,81152992,60004473,80093133,60026139,60002360,81044417;2;False
215309;Pépites pour vous;Ace Ventura, détective chiens et chats;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbLIkcIGy-F2cfwWaKhnP-m2D7d48bRsKxLWKMRsez00Y1Cr5TuDT8hOIeuXPekzvcKwp5Jxf3j-PBaWD2uM8UGV23bZHy617b4.webp?r=01a;1994;1 h 25 min;;13+;Ace Ventura, improbable détective privé pour animaux, se lance sur la piste des ravisseurs de Flocon de Neige, la mascotte de l'équipe de football américain de Miami.;;0;Tom Shadyac;Jim Carrey,Courteney Cox,Sean Young,Tone Loc,Dan Marino,Noble Willingham,Troy Evans,Raynor Scheine,Udo Kier,Frank Adonis,Tiny Ron;Jack Bernstein,Tom Shadyac,Jim Carrey;Films comiques,Intrigues;Décalé;70155536,81580024,70087541,70125231,70041162,70113002,60024059,70153404,80002924,81088495,70044593,80037476,70281562,60034587,70021637,60002139,81397077,70267242,60027689,60010110,60001650,70028904,60020686,70143830,80094318;1;False
22013422;Thrillers d'action;Peur bleue;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaboV5MVSVUI14zRw1UoLxI-4xzgx0fFbReGGp3cZ48auSja6ei4Td3HAekuvKCLyXb6tRSH16cDqqkGcb-qqTwqgde4UNIfBcc.webp?r=98a;1999;1 h 44 min;;16+;Des scientifiques menant une étude sur des requins pour soigner la maladie d'Alzheimer créent par erreur des spécimens gigantesques dotés d'une intelligence incroyable.;;0;Renny Harlin;Thomas Jane,Saffron Burrows,Samuel L. Jackson,Jacqueline McKenzie,Michael Rapaport,Stellan Skarsgård,LL Cool J,Aida Turturro,Cristos,Daniel Rey;Duncan Kennedy,Wayne Powers,Donna Powers;Films SF,Films d'horreur,Films d'action;Effrayant,Suspense;80094622,80029196,60027996,60001220,80210920,81183718,60036256,80133543,81021447,80124506,80237937,80245041,70028905,81081050,80216309,70108779,81189449,81198998,81397077,60029176,81004278,81073022,60004473,70060015,60002360,81044417;1;False
445386;Drames|Pépites pour vous;Dirty Dancing;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcfYpvu6z4FUT-lhaNFy24VgEHzciRIUB0h65Rhs5czaOzPNQV_btV3C1zIeAWyRTweRQEn4og-K9aiajnT4FPpSCegh4NxIk6U.webp?r=a2d;1987;1 h 40 min;Recommandé à 65 %;13+;Alors qu'elle passe l'été en montagne avec sa famille, une timide adolescente tombe amoureuse du professeur de danse du centre de vacances, un homme libre et audacieux.;;0;Emile Ardolino;Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes,Jack Weston,Jane Brucker,Kelly Bishop,Lonny Price,Max Cantor,Charles 'Honi' Coles;Eleanor Bergstein;Drames,Films romantiques,Drames primés;Sentimental,Romantique;81623358,70167075,80203147,80169498,60034573,81041317,880640,80075010,70178624,81476183,80057784,693960,70103759,80221908,81140933,70167068,81043665,60000417,70136041,70045854,70295080,384406,70119811,80143556,81388078,70144327;2;False
505789;Films d'époque;Lancelot, le premier chevalier;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTz-5RM3RGz0Dm7v1kAZo5Bi-gFSC6uBbRY21E6kkY3PNk0Jt3MrppaYqgTLVnzblKFmXfW3wT0ezSQpaRkR0_Opg8MNNt4phtQ.webp?r=977;1995;2 h 13 min;;13+;S'étant vu offrir une place à la Table ronde, Lancelot doit concilier sa loyauté au trône et son amour pour la reine Guenièvre, épouse du roi Arthur.;;0;Jerry Zucker;Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud;Lorne Cameron,David Hoselton,William Nicholson;Drames,Films romantiques,Films d'époque;Romantique;445386,70111323,81104904,60001220,1152837,880640,80057784,693960,81135138,81140933,873159,81582615,80182016,60011152,80190859,80058880,80212934,81161372,17405997,81557402,70119811,686619,60026139,60020626,60001044,81663277;1;False
60000417;Drames|Pépites pour vous|Blockbusters;La Ligne verte;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABd3dClWdcGtbkTj8pNyNcRN9Xt5hcJMA-OmmDgrBXIW40h2d42DtIWccndtyRHts9p8TVBxXOhnY8yE89Pd3Jf1TSha2wpgKPUg.webp?r=529;1999;3 h 8 min;Recommandé à 55 %;16+;Lorsqu'un gardien de prison découvre qu'un condamné à mort possède de mystérieux pouvoirs, il essaie désespérément d'empêcher son exécution.;violence;0;Frank Darabont;Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Gary Sinise;Frank Darabont;Drames,Films inspirés de livres,Drames primés;Émotion;81660544,60001220,80210920,80197327,880640,80074781,70135893,994992,60024922,70230640,81476183,70114497,60024942,81140933,81397077,81239779,60011152,70044605,70305903,17405997,81557402,70119811,81092221,268371,70243460,70019004;3;False
60001220;Films d'action et d'aventure|Thrillers;Les dents de la mer;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeAS80_RCBuRJ4DNDAE6ycp23WbWErblvTz_YucEDHMDJbjBJNxDMUzdtwv4sK5uC33UB0ZZvayxiS8p-NLCSKRW5yMaKV5rPRA.webp?r=e85;1975;2 h 4 min;Recommandé à 78 %;16+;Alors qu'un requin sème la terreur autour de la petite île d'Amity, le chef de la police, un océanographe et un chasseur de requins s'affairent pour capturer l'animal.;;0;Steven Spielberg;Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Jeffrey Kramer,Susan Backlinie,Jonathan Filley,Ted Grossman;Peter Benchley,Carl Gottlieb;Thrillers,Films inspirés de livres;Effrayant,Suspense;80094622,81481808,80197327,80210920,81495803,81088494,81486213,80124506,80237937,80245041,81483306,81476183,81435370,81576597,81691686,81128579,80111425,60000417,70108779,81397077,81279324,81324724,70044890,81557402,22013422,70060015;2;False
60001650;Mondes épiques;Men in Black;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcamGmVUuGn_r8aKlmElCZ98Dhc5gBu3WCboancj0Kz8d6cNKpAW0RqBDEBZQA0husRV_O6T0ASAFx72J7iBKYgggb3YDTaCh3M.webp?r=6a6;1997;1 h 37 min;;13+;Un bouillant policier new-yorkais forme avec un agent du gouvernement pragmatique une équipe top secrète dont la mission consiste à surveiller les aliens sur Terre.;;0;Barry Sonnenfeld;Will Smith,Tommy Lee Jones,Linda Fiorentino,Vincent D'Onofrio,Rip Torn,Tony Shalhoub,Siobhan Fallon Hogan,Mike Nussbaum,Jon Gries,Sergio Calderón;Ed Solomon;Films SF,Films comiques,Films d'action;;70208247,70155536,70125231,215318,80133543,20559714,80210920,70097577,70060015,81161626,60024059,70178621,215309,80037476,60034587,81397077,81161789,80158583,60010110,81152992,81309354,60004481,80094318;1;False
