Id;Label;Genres;Netflix_original;Nombre_occurrence
1151721;Donnie Brasco;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;False;2
17405997;Will Hunting;Drames,Drames primés;False;1
20559714;La Momie;Films d'action;False;2
215309;Ace Ventura, détective chiens et chats;Films comiques,Intrigues;False;1
22013422;Peur bleue;Films SF,Films d'horreur,Films d'action;False;1
445386;Dirty Dancing;Drames,Films romantiques,Drames primés;False;2
505789;Lancelot, le premier chevalier;Drames,Films romantiques,Films d'époque;False;1
60000417;La Ligne verte;Drames,Films inspirés de livres,Drames primés;False;3
60001220;Les dents de la mer;Thrillers,Films inspirés de livres;False;2
60001650;Men in Black;Films SF,Films comiques,Films d'action;False;1
60001822;Hannibal;Films d'horreur,Thrillers,Films inspirés de livres;False;1
60002273;Le Masque de l'araignée;Films policiers,Thrillers,Intrigues,Films inspirés de livres,Thrillers policiers;False;1
60002360;Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;2
60003016;Le Monde perdu : Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;1
60003388;Snatch;Britannique,Films comiques;False;1
60004473;Jurassic Park III;Films SF,Films inspirés de livres,Films d'action;False;1
60004481;Spider-Man;Films SF,Films d'action;False;1
60010110;Retour vers le futur;Films pour la famille,Films SF,Aventures en famille,Films comiques;False;3
60011152;Le Parrain;Drames,Films inspirés de livres,Drames primés;False;1
60020549;Le Retour de la momie;Films d'action;False;1
60020686;Shrek;Films pour la famille,Films jeunesse et famille,Aventures en famille,Satires,Films comiques;False;1
60022967;Plus jamais;Thrillers;False;2
60023071;Minority Report;Films SF,Films policiers,Films inspirés de livres,Policiers d'action,Films d'action;False;1
60023642;Le Voyage de Chihiro;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;2
60024918;Fusion;Films SF,Films d'action;False;1
60024922;8 Mile;Musique,Drames,Hip-hop,Drames sociaux;False;1
60024942;Arrête-moi si tu peux;Films policiers,Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;2
60026139;Les larmes du soleil;Films sur l'armée,Films d'action;False;4
60027689;École paternelle;Films pour la famille,Films jeunesse et famille,Films comiques;False;1
60029681;Scarface;Thrillers;False;1
60031247;Gothika;Films d'horreur,Thrillers;False;1
60034572;Shrek 2;Films pour la famille,Films jeunesse et famille,Aventures en famille,Films comiques,Films inspirés de livres;False;1
70002007;Gang de Requins;Films pour la famille,Films jeunesse et famille,Aventures en famille,Films comiques,Films d'animation;False;1
70019004;Coach Carter;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;2
70028883;Le Château ambulant;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
70033005;Matilda;Films pour la famille,Films jeunesse et famille,Films comiques,Films inspirés de livres;False;1
70044605;À la recherche du bonheur;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;1
70044890;Volver;Espagnol,Drames,Films comiques,Drames primés;False;3
70058020;1408: Teatteriversio;Films d'horreur,Thrillers,Films inspirés de livres;False;1
70058026;Transformers;Films SF,Films d'action;False;3
70060015;Je suis une légende;Films SF,Films inspirés de livres,Films d'action;False;1
70079583;The Dark Knight : le chevalier noir;Films d'action;False;4
70099790;La Momie : La tombe de l'Empereur Dragon;Films d'action;False;1
70103763;Transformers 2 : la revanche;Films SF,Films d'action;False;1
70108779;2012;Films SF,Films d'action;False;1
70113002;Very Bad Trip;Films comiques;False;2
70114497;Des mains en or;Drames,Films inspirés de faits réels,Drames sociaux,Drames primés;False;2
70119811;The Blind Side;Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;4
70124578;Les Ailes du désir;Films SF,Allemand,Films indépendants,Films romantiques;False;1
70125231;Copains Pour Toujours;Films comiques;False;1
70125931;Karaté Kid;Films pour la famille,Films jeunesse et famille,Drames pour la famille,Films sur les arts martiaux;False;3
70130445;Mange, prie, aime;Drames,Films romantiques,Films inspirés de livres,Films inspirés de faits réels;False;1
70136120;The Office (US);Sitcoms,Séries comiques,Séries US;False;4
70136140;Star Trek;Séries pour la famille à voir ensemble,Séries d'action et d'aventure,Séries US;False;2
70140358;Arrested Development;Sitcoms,Séries comiques,Séries US;True;1
70140438;Skins;Séries dramatiques,Britannique,Séries pour ados;False;1
70140907;Faster;Films d'action;False;3
70142382;Laguna Beach: The Real Orange County;Séries pour ados,Téléréalité,Séries US;False;1
70142384;The Hills;Séries pour ados,Téléréalité,Séries US,Style de vie;False;1
70142405;Avatar : Le dernier maître de l’air;Pour enfants,Séries pour la famille à voir ensemble,Dessins animés,Séries fantastiques;False;4
70143830;The Big Bang Theory;Sitcoms,Séries comiques,Séries US;False;5
70143836;Breaking Bad;Séries US,Thrillers TV;False;6
