ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
1151721;Inspiré de crimes réels;Donnie Brasco;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdcx_AkYISRhopbVLVhjMl4HNArTqR3SREn76mDkXj8MENOuE04Y7Y6BuFb-Ogzqtq_cF8Symp90cU2pJRM2Vp8KGxQzNzsRDqI.webp?r=da4;1997;2 h 6 min;;16+;Un agent du FBI sous couverture infiltre une famille de la mafia new-yorkaise et se lie d'amitié avec un tueur à gages, mettant son travail et sa vie en danger.;violence;0;Mike Newell;Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,James Russo,Anne Heche,Željko Ivanek,Gerry Becker,Zach Grenier,Robert Miano;Paul Attanasio;Films policiers,Thrillers,Films inspirés de livres,Thrillers policiers,Films inspirés de faits réels;Suspense;60011663,81135138,80121192,81064867,70056430,60011152,81161372,80175798,60024942,70020509,1152837,60036246,70189289,18907685,81603987,80017167,80212934,328438,70230640,268371,80013871,80098202,80240371,80152434,80207506,60029681;False;1
20559714;Blockbusters;La Momie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc8hWT677gvOjcVpTA36hGw5DDIreTYkK1q6guF-FKSKtzMq0DVwZmq8yECh2dEVFHKPmSMHU11Oj2dlIYwfFd-GTlB-q07AO_E.webp?r=bcf;1999;2 h 4 min;;13+;Quand des archéologues américains réveillent accidentellement une momie maudite, un aventurier et une égyptologue maladroite doivent contenir l'esprit maléfique.;;0;Stephen Sommers;Brendan Fraser,Rachel Weisz,John Hannah,Oded Fehr,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Stephen Dunham,Bernard Fox,Omid Djalili;Stephen Sommers,Lloyd Fonvielle,Kevin Jarre;Films d'action;Montée d'adrénaline;60036256,80161352,81044417,80017529,60023597,60004473,80187362,80093133,81004278,70217910,70127226,70178621,81152992,5670479,70305899,60001650,81161789,81073022,80098202,80029196,70108779,80133543,60002360,80237937;False;1
28630857;Anime;Princesse Mononoké;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXQNOFUpGQn7Fl5Xk8n7Dbbf4Eu_qo8ZF0VArDUZylZTysRnaxrtmbpHhKdxwU_KK9jIKQ72w4P2lUNM9pUUIhKXB2bsgZ4Hd8U.webp?r=6ea;1997;2 h 14 min;;13+;Parti en quête d'un remède, un prince affecté par un mal fatal se retrouve dans une contrée où se livre une bataille entre une ville minière et les animaux de la forêt.;;0;Hayao Miyazaki;Yoji Matsuda,Yuriko Ishida,Yuko Tanaka,Kaoru Kobayashi,Masahiko Nishimura,Tsunehiko Kamijo,Sumi Shimamoto,Tetsu Watanabe,Makoto Sato,Akira Nagoya,Akihiro Miwa,Mitsuko Mori,Hisaya Morishige;;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;Doux-amer;70293674,70019062,81478031,70106454,70142821,80036398,70019060,81328781,70216227,80092922,70028883,70262786,70045021,60027393,60032294,80158668,60023642,81281872,81345945,70019058,70035036,60027106,80233883,60021103,80013552,80234491;False;1
60000417;Blockbusters;La Ligne verte;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABd3dClWdcGtbkTj8pNyNcRN9Xt5hcJMA-OmmDgrBXIW40h2d42DtIWccndtyRHts9p8TVBxXOhnY8yE89Pd3Jf1TSha2wpgKPUg.webp?r=529;1999;3 h 8 min;Recommandé à 62 %;16+;Lorsqu'un gardien de prison découvre qu'un condamné à mort possède de mystérieux pouvoirs, il essaie désespérément d'empêcher son exécution.;violence;0;Frank Darabont;Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Gary Sinise;Frank Darabont;Drames,Films inspirés de livres,Drames primés;Émotion;60011663,81135138,80081151,80197327,80017529,80058397,60011152,70305903,60024942,70044605,70243460,70135893,81092221,81557402,70114497,81660544,70119811,994992,70230640,268371,81239779,60001220,80013871,70104313,60024922,80207506;False;1
60001044;Films d'époque;The Patriot : Le Chemin de la liberté;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdRGc_de6Q74W8NR7IJ2S7Szi144RuXD_6J4u7YLfEAZYnPx6a3tMCoY7c8Zb2dj3qvsiyqytzJVB_FEq9nNwosnrZvvK-tDX7c.webp?r=f1b;2000;2 h 45 min;;16+;Alors que la révolution menace ce qu'il a de plus cher et que son fils aîné a rejoint les rangs des indépendantistes, un père de famille veuf se lance dans la bataille.;violence;0;Roland Emmerich;Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,Chris Cooper,Tchéky Karyo,Rene Auberjonois,Lisa Brenner,Tom Wilkinson,Donal Logue,Leon Rippy;Robert Rodat;Films sur l'armée,Films d'époque,Films d'action;Violent;60020626,60011663,81582615,80017529,70056430,60011152,80170278,693960,60026139,70305907,60022974,70018720,60028308,70305899,80182016,70230640,80190859,70208104,80013871,80098202,505789,80133543,70111323,70056440,80179070,80014727;False;1
60001650;Mondes épiques;Men in Black;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcamGmVUuGn_r8aKlmElCZ98Dhc5gBu3WCboancj0Kz8d6cNKpAW0RqBDEBZQA0husRV_O6T0ASAFx72J7iBKYgggb3YDTaCh3M.webp?r=6a6;1997;1 h 37 min;;13+;Un bouillant policier new-yorkais forme avec un agent du gouvernement pragmatique une équipe top secrète dont la mission consiste à surveiller les aliens sur Terre.;;0;Barry Sonnenfeld;Will Smith,Tommy Lee Jones,Linda Fiorentino,Vincent D'Onofrio,Rip Torn,Tony Shalhoub,Siobhan Fallon Hogan,Mike Nussbaum,Jon Gries,Sergio Calderón;Ed Solomon;Films SF,Films comiques,Films d'action;;81030627,80037476,70056430,60004481,215318,70047101,215309,60024059,70208247,24063311,70178621,81152992,60036230,60034587,70097577,80158583,81161789,70125231,80029196,80094318,20559714,60010110,70060015;False;1
60002360;Films d'action et d'aventure;Jurassic Park;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS1wnhLvke0z71d7WYxKx-Za4siRfJWhSPCPFcrULXSwmbQswFO6Z7p3V-xyQkJGxGFl8-Xv3vmSjmkR59sfaL9_eU2mOEC1B3M.webp?r=612;1993;2 h 6 min;Recommandé à 66 %;13+;Science, sabotage et ADN préhistorique sont au cœur de ce film où les dinosaures clonés d'un parc top secret s'échappent de leur enclos et poursuivent les visiteurs.;;0;Steven Spielberg;Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight;Michael Crichton,David Koepp;Films SF,Films inspirés de livres,Films d'action;;60036256,81044417,81030627,80216309,80037476,70099790,80017529,81165134,80187362,80093133,81004278,70178621,80170280,60001650,81161789,22013422,81073022,80098202,70108779,60020549,80237937,20559714,60010110;False;1
60004481;Films d'action et d'aventure;Spider-Man;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcn0HsWOFtXyP2gPr5ffQ9ZRXUL49J_2bxkHI39j-_eJ9rB6ir8zk0oFUvRs4o3zszggFHWFEBVDpl9ZAYxO_j6DSJQzvKkj-vA.webp?r=426;2002;2 h 1 min;Recommandé à 66 %;13+;Après s'être fait piquer par une araignée génétiquement modifiée, le timide lycéen Peter Parker développe des arachno-pouvoirs et rencontre un nouvel ennemi dangereux.;;0;Sam Raimi;Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,Cliff Robertson,Rosemary Harris,J.K. Simmons,Joe Manganiello,Gerry Becker,Bill Nunn;David Koepp;Films SF,Films d'action;;81044417,81030627,80216309,80037476,70056430,60004473,80187362,70208247,81004278,70217910,70021642,70178621,80027042,80091595,70097577,70208104,60001650,81161789,81073022,80098202,80029196,60002360,80237937;False;1
60010110;Films d'action et d'aventure;Retour vers le futur;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUt4Xdm1C0NTGnTU_wtmQnEIQpooaThcO6fEc0Oxiz4wbNXtnqWNv9k68WC9nlSNFBuV2y9SNFhJjuMMA6-zHn0aAHfSj9mOcFw.webp?r=46c;1985;1 h 56 min;;13+;Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.;;0;Robert Zemeckis;Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson,Claudia Wells,Marc McClure,Wendie Jo Sperber;Robert Zemeckis,Bob Gale;Films pour la famille,Films SF,Aventures en famille,Films comiques;Bonne humeur;81030627,80037476,81057361,986399,70143830,215318,60003016,60020686,215309,70217910,60034587,60020828,70153404,70270408,60001650,81161789,70125231,80029196,80094318,60021783,60020549,60002360,20559714,684660;False;1
60023642;Anime;Le Voyage de Chihiro;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcSFEGg2pT46sou9Y2hh7iV8AOolFOWg2zMbIGZZwgsK2ESb8HtOMa2ieo7spevH5sDK22AI527ScvLBTdldz7p6AccPndSZDlU.webp?r=cd3;2001;2 h 5 min;;10+;Chihiro s'aventure dans un monde magique où règne une méchante sorcière qui transforme ceux qui lui désobéissent en animaux.;;0;Hayao Miyazaki;Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naito,Yasuko Sawaguchi,Tatsuya Gashuin,Ryunosuke Kamiki,Yumi Tamai,Yo Oizumi,Bunta Sugawara,Hayashikoba;;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;;81316559,80158156,70019062,81478031,70106454,60034572,70216227,70028883,81616116,60020686,70045021,60027393,60032294,81311604,81143068,70142405,81026605,70019058,70109889,60027106;False;1
