ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
318960;Thrillers d'action;Tonnerre de feu;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaXVw0efnPxSxLdatm5VxmwdrTPlTOnMzE1nBWa0ZVe1utHaAaYVZCgg7ukxzX8X_am1EpFk4stPhO9YVwFOCojSSsi2LnZLTDo.webp?r=f8c;1983;1 h 49 min;;16+;La chasse à l'homme est ouverte quand un pilote d'essai décide de détourner l'hélicoptère dont il a les commandes en découvrant la véritable finalité de cet engin.;violence;0;John Badham;Roy Scheider,Warren Oates,Candy Clark,Daniel Stern,Paul Roebling,David Sheiner,Joe Santos,Malcolm McDowell,Ed Bernard,Jason Bernard;Dan O'Bannon,Don Jakoby;Films policiers,Policiers d'action,Films d'action;Suspense;70058020,81280035,81058613,60022974,70102746,80170988,80103726,81195027,81450827,80230399,81194641,81576597,80192187,81160697,80220426,80121192,70018720,80097221,80210920,70001232;False;1
60026139;Thrillers d'action;Les larmes du soleil;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeKg2pXU74BVQgM43Sys7PlQPq5XCYWPebJhg42_K9_TqqfzNBE4HxjZqUWQfT-3cG7H6QqmGYDnUZODUAqCgMnst3AwcEw-koc.webp?r=622;2003;2 h 1 min;;16+;Dans un Nigeria en proie à un coup d'État sanglant, une équipe de Navy Seals est envoyée dans la jungle pour la sauver, mais Dr Kendricks ne quittera pas ses patients.;violence, violence sexuelle;0;Antoine Fuqua;Bruce Willis,Monica Bellucci,Cole Hauser,Eamonn Walker,Johnny Messner,Nick Chinlund,Charles Ingram,Paul Francis,Chad Smith,Tom Skerritt,Malick Bowens,Awaovieyi Agie;Alex Lasker,Patrick Cirillo;Films sur l'armée,Films d'action;;80118916,81370440,70266110,81041495,81280035,80178280,81397077,80044545,80041653,80190534,328438,80170988,81088494,80230399,60011663,80192187,81557402,80220426,80017529,81580045,70056440,80210920;False;1
70101535;Films d'époque Émotion;Les Proscrits;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABQXvOYDmUA62TOuoVYQOg_wyQ-PqBR54OEH1KVjhdB1gPh6pnMpLxNyBnu2EmuS4NCvS1yU7cabF-FXPATEFi1l3qIM3AWKzShc.webp?r=3c0;1918;1 h 50 min;;13+;Ce double programme comprend un film muet de 1918 réalisé et interprété par Victor Sjöström, ainsi qu'un documentaire de 1981 sur le réalisateur signé Gösta Werner.;;0;Victor Sjöström;Victor Sjöström,Edith Erastoff,John Ekman,Jenny Tschernichin-Larsson,Artur Rolén,Nils Ahrén,William Larsson;Victor Sjöström;Suédois,Films inspirés d'une pièce de théâtre,Drames,Films romantiques,Films d'époque;Émotion,Romantique;80200571,80190859,81064867,81476183,81387067,81115160,81564732,81444818,268371,81476441,81435930,81354934,81382060,81205314,80211648,81410649,60034816,81426931,80182016,80174263,81167887,80232398,81144852,81166791,81453541,18907685;False;1
70140358;Séries incontournables;Arrested Development;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYPFfpnAuui3VJaom8MsGwzw3tmg-ZYxd-zqJN2mwTJCQ3btDF6FmpiZCWkrsMptIShUwdVczvs2_O9R9hxWBJZZlTCXMh0uBY9hB-fKTw1aoDVmRYcUGhfosgPOrgxjvO1X.jpg?r=51a;2019;5 Saisons;Recommandé à 55 %;13+;C'est l'histoire d'une famille riche qui a tout perdu, et du fils qui n'a d'autre choix que de s'occuper d'eux.;;0;;Jason Bateman,Portia de Rossi,Will Arnett,Michael Cera,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard;;Sitcoms,Séries comiques,Séries US;Insolite;81516751,80095815,80998491,70242311,80025384,80095697,81397077,80113701,81447461,70300800,80198991,80986854,70208247,81500842,80177342,81193104,81214194,81288370,80995819,80017537,81021929,81468289,81406669,70153385,80179190,80238565;True;1
70158330;Séries SF US|Séries d'action et d'aventure;Star Trek: Deep Space Nine;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYYnrfAtki1xpTVEJjt5VW5i4fEEBWwNsE1eXxBZztOXqFwo-DRcSibuvn6MXhv8LC7xb4T_Av91bS-d-lTEe0G4k8C-zhYbZUU.webp?r=202;1999;7 Saisons;Recommandé à 63 %;13+;Dans cette série dérivée de Star Trek, le commandeur Sisko prend la tête de l'équipage de Deep Space Nine, une station spatiale investie d'une mission complexe.;;0;;Avery Brooks,Nana Visitor,Rene Auberjonois,Cirroc Lofton,Alexander Siddig,Colm Meaney,Armin Shimerman,Terry Farrell,Michael Dorn;;Séries SF,Séries d'action et d'aventure,Séries US;;80104198,80097140,80174608,80236236,81397077,81161230,80218200,80207033,80105699,81321986,81094067,80117799,81473627,80189853,80098200,81465109,81067760,80236319,80134431,80214512,80189685;False;2
70171946;Soirée filles;Heartland;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc3n3JmevYTYQuP1n2IufbQnlc-K4pwChDRWSWO4E7ibEvQC1XwVE6SuoAP5xnLuETuwMBX32eqs-67mZDWZecz5ARMNBPzLNzc.webp?r=7f7;2021;8 Saisons;Recommandé à 84 %;13+;Amy et son grand-père apprennent qu'ils risquent de perdre leur ranch et leur élevage de chevaux, alors que l'adolescente se remet à peine de la mort soudaine de sa mère.;;0;;Amber Marshall,Michelle Morgan,Graham Wardle,Shaun Johnston,Chris Potter,Alisha Newton,Kerry James,Jessica Steen,Jessica Amlee,Gabriel Hogan,Nathaniel Arcand;;Séries dramatiques,Séries pour la famille à voir ensemble,Canadien,Séries inspirées de livres;Sentimental,Émotion;81324724,81476183,80212986,80239866,81233755,81397077,80075010,80240027,81166770,81304948,81495803,80136311,80201590,80994340,80134695,81051688,81408600,80202258,70285581,80232398,18962448,80995799,81580045,80210920,80241318,81562449;False;1
70172485;Les trouvailles du jour pour vous;Victorious;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcyzgYak1KMLBiDLeU9D1FaSqibf5e0DPezCq-ige_M5QUNQIJUZYQNSSrZnkTVsZGdeezNL1MalY2r_Y0JR8IkhAkHOwr1oUmE.webp?r=a43;2013;20 Épisodes;Recommandé à 88 %;7+;Tori Vega rêve de chanter. Quand elle rencontre un groupe de jeunes talents d'une école de spectacle hollywoodienne, elle travaille dur pour s'intégrer, et se faire remarquer.;;0;;Victoria Justice,Leon Thomas III,Matt Bennett,Elizabeth Gillies,Ariana Grande,Avan Jogia,Daniella Monet,Michael Eric Reid,Jake Farrow,Eric Lange;;Pour enfants,Sitcoms,Séries comiques;;81005407,80020037,80230534,80238106,80095435,80174285,80231658,80244332,81443738,80220541,70294800,80020540,81011712,80994878,60031264,80042307,80058852,60020686,80201035,70197459,80234451;False;1
70173047;Thrillers d'action;Premium Rush;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaODrlE-YFTPP2zTCsoMlGHE2sF0AVT1-KU3geyD17QesjaQukvLeV7xQxXYvMtTkCl9gA5zsiUZudebCNzQilKvuaO6VYC5XK0.webp?r=c60;2012;1 h 31 min;;13+;La mission de routine d'un livreur à vélo devient une question de vie ou de mort lorsqu'un flic corrompu veut à tout prix mettre la main sur le paquet qu'il transporte.;;0;David Koepp;Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Jamie Chung,Wolé Parks,Aasif Mandvi,Christopher Place,Henry O,Sean Kennedy,Kym Perfetto;David Koepp,John Kamps;Films policiers,Policiers d'action,Films d'action;Suspense;80142090,81370440,81001887,81171201,80204465,60022974,81161626,81488967,70017716,70102746,80170988,70173048,80230399,81587697,81005492,81160697,81092221,80017529,81043105;False;1
70178217;Thrillers primés (TV)|Séries incontournables;House of Cards;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcmK7q3b3rttXOMTHOHEs9OotGB7k_WBf3T-2eBGAA1MhJEoeQQJQ-YKXiWz6fk4MaYxnD2ihMyM9mx8uGhk8sAcJUO9kMBbrBfnwegPXPp4uKQhQyxU_uVf-pkABzCc2zXs.jpg?r=1cb;2018;6 Saisons;Recommandé à 84 %;16+;Une nouvelle ère s'ouvre tandis que, Frank hors jeu, Claire Underwood devient la première femme présidente des États-Unis et se retrouve confrontée à de graves menaces.;violence;0;;Robin Wright,Michael Kelly,Diane Lane,Greg Kinnear,Campbell Scott,Patricia Clarkson,Derek Cecil,Cody Fern,Boris McGiver,Sakina Jaffrey,Lars Mikkelsen,Kevin Spacey,Kate Mara,Corey Stoll,Kristen Connolly,Sebastian Arcelus,Nathan Darrow,Sandrine Holt,Michel Gill,Elizabeth Norment,Mahershala Ali,Reg E. Cathey,Molly Parker,Elizabeth Marvel,Kim Dickens,Joel Kinnaman,Neve Campbell,Constance Zimmer;;Séries politiques,Séries US,Thrillers TV;Cérébral,Sombre;60011152,81396545,81476183,80025678,81233755,81397077,60022974,81603987,81417796,81304948,80195198,81303831,80002479,81450827,80021955,80185171,80113647,80235864,80114855,60011663,80025172,80117552,80994082,80210920,80241318,81288983;True;3
70178639;Héros et héroïnes noirs;Jumping the Broom;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABfqLxXvzVSPs0GtxDkb0ExiyK1OM-9dHrE24dqK8c2pQhujxgRTV6qvXpIxixR7eRltlfGPWpGcCV8Tr5w7ZMAh8Nb_gOwHMVks.webp?r=01f;2011;1 h 52 min;;13+;Sur un coup de foudre, un couple se marie à Martha's Vineyard dans le domaine familial de la mariée, mais la rencontre entre leurs proches ne se fera pas sans heurts.;;0;Salim Akil;Angela Bassett,Paula Patton,Laz Alonso,Loretta Devine,Meagan Good,Tasha Smith,Julie Bowen,DeRay Davis,Valarie Pettiford,Pooch Hall,Tenika Davis,T.D. Jakes,Mike Epps,Romeo Miller,Marguerite McNeil,El DeBarge,Brian Stokes Mitchell,Gary Dourdan;Elizabeth Hunter,Arlene Gibbs;Comédies romantiques,Films comiques,Films romantiques;Romantique;70065112,81424906,70167068,81476183,80212986,70032592,80096645,81425117,80156763,70103759,60031278,81241465,80174897,81043665,81041317,81286006,60034573,70045854,70118780,60001947,80189630,80211623,81132044,81580045,81076586,70138790;False;1
