ID;categorie;titres;liens_images;année;durée;score_recommendation;age_conseillé;description;prévention;mise_en_avant_supplémentaire;réalisation;distribution;scénariste;genres;avertissement_programme;recommendations;netflix_original;nombre_occurrence
20559714;Mondes épiques;La Momie;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABc8hWT677gvOjcVpTA36hGw5DDIreTYkK1q6guF-FKSKtzMq0DVwZmq8yECh2dEVFHKPmSMHU11Oj2dlIYwfFd-GTlB-q07AO_E.webp?r=bcf;1999;2 h 4 min;;13+;Lorsqu'une explosion dans une montagne en Norvège réveille un ancien troll, les autorités font appel à une paléontologue intrépide pour l'empêcher de semer le chaos.|Quand des archéologues américains réveillent accidentellement une momie maudite, un aventurier et une égyptologue maladroite doivent contenir l'esprit maléfique.;;1;Stephen Sommers;Brendan Fraser,Rachel Weisz,John Hannah,Oded Fehr,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Stephen Dunham,Bernard Fox,Omid Djalili;Stephen Sommers,Lloyd Fonvielle,Kevin Jarre;Films d'action;Montée d'adrénaline;70111323,60026139,70217910,60001650,60004473,60022974,80017529,80093133,22013422,81161626,70108779,60036256,60023597,70056440,5670479,81044417,80161352,70305899;False;2
215309;Pépites pour vous;Ace Ventura, détective chiens et chats;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbLIkcIGy-F2cfwWaKhnP-m2D7d48bRsKxLWKMRsez00Y1Cr5TuDT8hOIeuXPekzvcKwp5Jxf3j-PBaWD2uM8UGV23bZHy617b4.webp?r=01a;1994;1 h 25 min;;13+;Ace Ventura, improbable détective privé pour animaux, se lance sur la piste des ravisseurs de Flocon de Neige, la mascotte de l'équipe de football américain de Miami.;;0;Tom Shadyac;Jim Carrey,Courteney Cox,Sean Young,Tone Loc,Dan Marino,Noble Willingham,Troy Evans,Raynor Scheine,Udo Kier,Frank Adonis,Tiny Ron;Jack Bernstein,Tom Shadyac,Jim Carrey;Films comiques,Intrigues;Décalé;70263864,81064867,70097577,70028904,70267242,70058017,81397077,70021637,60034587,24063311,60027689,81161626,70125231,70087541,81057361,80079256,60024059,70155536,70044593,60001650,60010111,70167070,70123711,70220030,70041162;False;1
22013422;Thrillers d'action;Peur bleue;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABaboV5MVSVUI14zRw1UoLxI-4xzgx0fFbReGGp3cZ48auSja6ei4Td3HAekuvKCLyXb6tRSH16cDqqkGcb-qqTwqgde4UNIfBcc.webp?r=98a;1999;1 h 44 min;;16+;Des scientifiques menant une étude sur des requins pour soigner la maladie d'Alzheimer créent par erreur des spécimens gigantesques dotés d'une intelligence incroyable.;;0;Renny Harlin;Thomas Jane,Saffron Burrows,Samuel L. Jackson,Jacqueline McKenzie,Michael Rapaport,Stellan Skarsgård,LL Cool J,Aida Turturro,Cristos,Daniel Rey;Duncan Kennedy,Wayne Powers,Donna Powers;Films SF,Films d'horreur,Films d'action;Effrayant,Suspense;70060006,81183718,81397077,81240831,81081050,70251537,60001220,81189449,81198998,60024918,81128579,81021447,80094622,80213226,80196789,80245041,81044417,81557402,80091233,60027996,60004473,80017529,60036256,70028905,80210920,80067831;False;1
28630857;Films d'action et d'aventure;Princesse Mononoké;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXQNOFUpGQn7Fl5Xk8n7Dbbf4Eu_qo8ZF0VArDUZylZTysRnaxrtmbpHhKdxwU_KK9jIKQ72w4P2lUNM9pUUIhKXB2bsgZ4Hd8U.webp?r=6ea;1997;2 h 14 min;Recommandé à 56 %;13+;Parti en quête d'un remède, un prince affecté par un mal fatal se retrouve dans une contrée où se livre une bataille entre une ville minière et les animaux de la forêt.;;0;Hayao Miyazaki;Yoji Matsuda,Yuriko Ishida,Yuko Tanaka,Kaoru Kobayashi,Masahiko Nishimura,Tsunehiko Kamijo,Sumi Shimamoto,Tetsu Watanabe,Makoto Sato,Akira Nagoya,Akihiro Miwa,Mitsuko Mori,Hisaya Morishige;;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;Doux-amer;81478031,81328781,80045948,70019060,70142405,80013552,70045021,80036398,70142821,81345945,81026605,70019062,81400497,80092922,81093113,70262786,60021103,80233883,80234491,80158668,70035036,81228573,81281872,70019058,81143068,70293674;False;1
445386;Pépites pour vous;Dirty Dancing;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcfYpvu6z4FUT-lhaNFy24VgEHzciRIUB0h65Rhs5czaOzPNQV_btV3C1zIeAWyRTweRQEn4og-K9aiajnT4FPpSCegh4NxIk6U.webp?r=a2d;1987;1 h 40 min;Recommandé à 59 %;13+;Alors qu'elle passe l'été en montagne avec sa famille, une timide adolescente tombe amoureuse du professeur de danse du centre de vacances, un homme libre et audacieux.;;0;Emile Ardolino;Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes,Jack Weston,Jane Brucker,Kelly Bishop,Lonny Price,Max Cantor,Charles 'Honi' Coles;Eleanor Bergstein;Drames,Films romantiques,Drames primés;Sentimental,Romantique;70167068,80212986,81476183,80221908,80143556,80169498,80131194,994992,70103759,80075010,81043665,80203147,693960,81041317,60034573,70045854,18171073,70136041,70178624,60001947,80232398,384406,70045283,81580045,81388078,70167075;False;1
505789;Films d'époque;Lancelot, le premier chevalier;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTz-5RM3RGz0Dm7v1kAZo5Bi-gFSC6uBbRY21E6kkY3PNk0Jt3MrppaYqgTLVnzblKFmXfW3wT0ezSQpaRkR0_Opg8MNNt4phtQ.webp?r=977;1995;2 h 13 min;;13+;S'étant vu offrir une place à la Table ronde, Lancelot doit concilier sa loyauté au trône et son amour pour la reine Guenièvre, épouse du roi Arthur.;;0;Jerry Zucker;Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud;Lorne Cameron,David Hoselton,William Nicholson;Drames,Films romantiques,Films d'époque;Romantique;60011152,80190859,80212986,81397077,81161372,60001044,81603987,1152837,81304948,445386,80058880,81135138,81104904,693960,80207506,60011663,80182016,873159,80161728,70111323,60020626,80017529,81582615,81580045,81557402,80241318;False;1
60000417;Pépites pour vous|Blockbusters;La Ligne verte;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABd3dClWdcGtbkTj8pNyNcRN9Xt5hcJMA-OmmDgrBXIW40h2d42DtIWccndtyRHts9p8TVBxXOhnY8yE89Pd3Jf1TSha2wpgKPUg.webp?r=529;1999;3 h 8 min;;16+;Lorsqu'un gardien de prison découvre qu'un condamné à mort possède de mystérieux pouvoirs, il essaie désespérément d'empêcher son exécution.;violence;0;Frank Darabont;Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Gary Sinise;Frank Darabont;Drames,Films inspirés de livres,Drames primés;Émotion;60011152,80058397,60024942,81476183,60029681,80013871,994992,80074781,70132721,81239779,268371,80081151,60001220,70084788,60024922,328438,70114497,81135138,70243453,80207506,81660544,70230640,70135893,60011663,81557402,81092221,70243460,80073823,80017529,70044605,70104313,70305903,70201437,80210920,18907685,80241318,80197327;False;2
60001393;Thrillers d'action;A l'aube du 6ème jour;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABdrVS0UmYEWhhgKsISIHE7DLHBxR4EH_W52u2dgYvsGLExJDl2u8kNUyLgyvi7cl1G_-wGwsj7iWkxJSKeh2zRDBJ7nPvBwIKkM.webp?r=e99;2000;2 h 3 min;;13+;Un pilote d'hélicoptère parvient à échapper au riche homme d'affaires qui veut sa peau, mais découvre qu'il a été cloné et doit se battre pour récupérer son identité.;;0;Roger Spottiswoode;Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn,Michael Rooker,Sarah Wynter,Wendy Crewson,Rodney Rowland,Terry Crews,Ken Pogue,Colin Cunningham,Robert Duvall;Cormac Wibberley,Marianne Wibberley;Films SF,Films d'action;;70058020,60027486,81397077,81509422,81171201,80071227,80014727,60022974,80158764,80992058,70102746,81057361,81043995,81194641,81160697,81557402,81092221,70021642,60001650,81058434,70264801,70123711,684660,60023071,80241318,70065116;False;1
60002360;Films d'action et d'aventure;Jurassic Park;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS1wnhLvke0z71d7WYxKx-Za4siRfJWhSPCPFcrULXSwmbQswFO6Z7p3V-xyQkJGxGFl8-Xv3vmSjmkR59sfaL9_eU2mOEC1B3M.webp?r=612;1993;2 h 6 min;Recommandé à 61 %;13+;Science, sabotage et ADN préhistorique sont au cœur de ce film où les dinosaures clonés d'un parc top secret s'échappent de leur enclos et poursuivent les visiteurs.;;0;Steven Spielberg;Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight;Michael Crichton,David Koepp;Films SF,Films inspirés de livres,Films d'action;;60010110,80993105,60020549,22013422,70208599,80091595,60022974,81161626,70099790,80216309,20559714,70108779,81277430,81044417,60001650,80017529,80093133,70123711,60036256;False;1
60004481;Films d'action et d'aventure;Spider-Man;occ-0-2773-2774.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABcn0HsWOFtXyP2gPr5ffQ9ZRXUL49J_2bxkHI39j-_eJ9rB6ir8zk0oFUvRs4o3zszggFHWFEBVDpl9ZAYxO_j6DSJQzvKkj-vA.webp?r=426;2002;2 h 1 min;Recommandé à 63 %;13+;Après s'être fait piquer par une araignée génétiquement modifiée, le timide lycéen Peter Parker développe des arachno-pouvoirs et rencontre un nouvel ennemi dangereux.;;0;Sam Raimi;Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,Cliff Robertson,Rosemary Harris,J.K. Simmons,Joe Manganiello,Gerry Becker,Bill Nunn;David Koepp;Films SF,Films d'action;;60010110,80029196,70097577,80091595,80027042,80065386,80216309,70208247,20559714,60024059,81044417,70217910,70021642,60001650,60004473,80017529,70056430,70060015,70123711,60002360,60023597,80241318;False;1
