ID;recommendations;recommendation1;recommendation2;recommendation3;recommendation4;recommendation5;recommendation6;recommendation7;recommendation8;recommendation9;recommendation10;recommendation11;recommendation12;recommendation13;recommendation14;recommendation15;recommendation16;recommendation17;recommendation18;recommendation19;recommendation20;recommendation21;recommendation22;recommendation23;recommendation24;recommendation25;recommendation26;recommendation27;recommendation28;recommendation29;recommendation30;recommendation31
1151721;80152434,80071227,80240371,81088494,1152837,880640,70189289,81198448,70230640,81576597,81064867,60036246,81135138,60024942,60029681,80200571,60011152,80212934,80121192,81161372,17405997,80017167,80175798,18907685,328438,81092221,268371;80152434;80071227;80240371;81088494;1152837;880640;70189289;81198448;70230640;81576597;81064867;60036246;81135138;60024942;60029681;80200571;60011152;80212934;80121192;81161372;17405997;80017167;80175798;18907685;328438;81092221;268371;;;;
17405997;70132721,70084788,81037684,880640,70135893,994992,70189289,60024922,70230640,81450757,81064867,693960,70114497,60024942,81140933,70201437,60000417,873159,60011152,70044605,70119811,18907685,268371,70305903,70019004,1179053;70132721;70084788;81037684;880640;70135893;994992;70189289;60024922;70230640;81450757;81064867;693960;70114497;60024942;81140933;70201437;60000417;873159;60011152;70044605;70119811;18907685;268371;70305903;70019004;1179053;;;;;
20559714;80029196,80133543,60036256,80237937,70056440,70178621,80216309,80161352,70108779,70127226,60029176,81004278,81161789,5670479,81073022,60001650,70305899,60020686,81152992,60004473,80093133,60026139,60002360,81044417;80029196;80133543;60036256;80237937;70056440;70178621;80216309;80161352;70108779;70127226;60029176;81004278;81161789;5670479;81073022;60001650;70305899;60020686;81152992;60004473;80093133;60026139;60002360;81044417;;;;;;;
215309;70155536,81580024,70087541,70125231,70041162,70113002,60024059,70153404,80002924,81088495,70044593,80037476,70281562,60034587,70021637,60002139,81397077,70267242,60027689,60010110,60001650,70028904,60020686,70143830,80094318;70155536;81580024;70087541;70125231;70041162;70113002;60024059;70153404;80002924;81088495;70044593;80037476;70281562;60034587;70021637;60002139;81397077;70267242;60027689;60010110;60001650;70028904;60020686;70143830;80094318;;;;;;
22013422;80094622,80029196,60027996,60001220,80210920,81183718,60036256,80133543,81021447,80124506,80237937,80245041,70028905,81081050,80216309,70108779,81189449,81198998,81397077,60029176,81004278,81073022,60004473,70060015,60002360,81044417;80094622;80029196;60027996;60001220;80210920;81183718;60036256;80133543;81021447;80124506;80237937;80245041;70028905;81081050;80216309;70108779;81189449;81198998;81397077;60029176;81004278;81073022;60004473;70060015;60002360;81044417;;;;;
445386;81623358,70167075,80203147,80169498,60034573,81041317,880640,80075010,70178624,81476183,80057784,693960,70103759,80221908,81140933,70167068,81043665,60000417,70136041,70045854,70295080,384406,70119811,80143556,81388078,70144327;81623358;70167075;80203147;80169498;60034573;81041317;880640;80075010;70178624;81476183;80057784;693960;70103759;80221908;81140933;70167068;81043665;60000417;70136041;70045854;70295080;384406;70119811;80143556;81388078;70144327;;;;;
505789;445386,70111323,81104904,60001220,1152837,880640,80057784,693960,81135138,81140933,873159,81582615,80182016,60011152,80190859,80058880,80212934,81161372,17405997,81557402,70119811,686619,60026139,60020626,60001044,81663277;445386;70111323;81104904;60001220;1152837;880640;80057784;693960;81135138;81140933;873159;81582615;80182016;60011152;80190859;80058880;80212934;81161372;17405997;81557402;70119811;686619;60026139;60020626;60001044;81663277;;;;;
60000417;81660544,60001220,80210920,80197327,880640,80074781,70135893,994992,60024922,70230640,81476183,70114497,60024942,81140933,81397077,81239779,60011152,70044605,70305903,17405997,81557402,70119811,81092221,268371,70243460,70019004;81660544;60001220;80210920;80197327;880640;80074781;70135893;994992;60024922;70230640;81476183;70114497;60024942;81140933;81397077;81239779;60011152;70044605;70305903;17405997;81557402;70119811;81092221;268371;70243460;70019004;;;;;
60001220;80094622,81481808,80197327,80210920,81495803,81088494,81486213,80124506,80237937,80245041,81483306,81476183,81435370,81576597,81691686,81128579,80111425,60000417,70108779,81397077,81279324,81324724,70044890,81557402,22013422,70060015;80094622;81481808;80197327;80210920;81495803;81088494;81486213;80124506;80237937;80245041;81483306;81476183;81435370;81576597;81691686;81128579;80111425;60000417;70108779;81397077;81279324;81324724;70044890;81557402;22013422;70060015;;;;;
60001650;70208247,70155536,70125231,215318,80133543,20559714,80210920,70097577,70060015,81161626,60024059,70178621,215309,80037476,60034587,81397077,81161789,80158583,60010110,81152992,81309354,60004481,80094318;70208247;70155536;70125231;215318;80133543;20559714;80210920;70097577;70060015;81161626;60024059;70178621;215309;80037476;60034587;81397077;81161789;80158583;60010110;81152992;81309354;60004481;80094318;;;;;;;;
60001822;70058020,60027486,70032591,80240371,60027996,60001220,81183718,81198948,70206131,70099609,80124506,70251537,27828200,80237937,81483977,81483306,80106763,70035186,81081050,81128579,81198998,80049281,60002273,18958127,81092221,70053460;70058020;60027486;70032591;80240371;60027996;60001220;81183718;81198948;70206131;70099609;80124506;70251537;27828200;80237937;81483977;81483306;80106763;70035186;81081050;81128579;81198998;80049281;60002273;18958127;81092221;70053460;;;;;
60002273;81477746,81481808,60026150,70098896,80240371,60001220,80210920,80223997,70305892,1152837,8179348,81198448,27828200,80236390,70035186,60036246,873159,81029875,80175684,60001822,70044379,81345983,80049281,18958127,70082265,81128750;81477746;81481808;60026150;70098896;80240371;60001220;80210920;80223997;70305892;1152837;8179348;81198448;27828200;80236390;70035186;60036246;873159;81029875;80175684;60001822;70044379;81345983;80049281;18958127;70082265;81128750;;;;;
60002360;81004276,80187362,80133543,20559714,60036256,80237937,70178621,70099790,80037476,80216309,70108779,70127226,81161789,81004278,70058026,81073022,60010110,60001650,60020549,80093133,22013422,81044417,80993105;81004276;80187362;80133543;20559714;60036256;80237937;70178621;70099790;80037476;80216309;70108779;70127226;81161789;81004278;70058026;81073022;60010110;60001650;60020549;80093133;22013422;81044417;80993105;;;;;;;;
60003016;81004276,20559714,80236314,60036256,70299855,80237937,70178621,70099790,80216309,70108779,70127226,81161789,81004278,70058026,81073022,60010110,81557402,81277430,81152992,80093133,22013422,81044417,80993105;81004276;20559714;80236314;60036256;70299855;80237937;70178621;70099790;80216309;70108779;70127226;81161789;81004278;70058026;81073022;60010110;81557402;81277430;81152992;80093133;22013422;81044417;80993105;;;;;;;;
60003388;70208247,70058008,80200267,70011211,81037684,81161626,70058024,81458416,70153404,81290742,81064867,215309,70281562,80015343,70167068,80142090,60021783,80121192,70044890,80079256,80014749,70136120,60001650,70028904,70143830,81088495;70208247;70058008;80200267;70011211;81037684;81161626;70058024;81458416;70153404;81290742;81064867;215309;70281562;80015343;70167068;80142090;60021783;80121192;70044890;80079256;80014749;70136120;60001650;70028904;70143830;81088495;;;;;
60004473;81004276,20559714,80236314,60036256,70299855,80237937,80170280,70178621,70099790,80216309,70108779,70127226,81161789,81004278,70058026,81073022,81277430,60020549,60001650,80093133,22013422,81044417,80993105;81004276;20559714;80236314;60036256;70299855;80237937;80170280;70178621;70099790;80216309;70108779;70127226;81161789;81004278;70058026;81073022;81277430;60020549;60001650;80093133;22013422;81044417;80993105;;;;;;;;
60004481;70208247,80029196,60023597,81004276,80187362,80071348,80133543,80091595,80237937,70178621,80037476,80216309,70103763,81161789,81004278,70217910,70058026,81073022,60001650,80027042,70021642,60002360,81044417;70208247;80029196;60023597;81004276;80187362;80071348;80133543;80091595;80237937;70178621;80037476;80216309;70103763;81161789;81004278;70217910;70058026;81073022;60001650;80027042;70021642;60002360;81044417;;;;;;;;
60010110;986399,70155536,80029196,60020828,70125231,215318,20559714,80002924,215309,80037476,60034587,81161789,70217910,81057361,60021783,60003016,60001650,684660,60020686,70002007,81309354,80094318,60002360,60034572;986399;70155536;80029196;60020828;70125231;215318;20559714;80002924;215309;80037476;60034587;81161789;70217910;81057361;60021783;60003016;60001650;684660;60020686;70002007;81309354;80094318;60002360;60034572;;;;;;;
60011152;70132721,70143836,60001220,70084788,880640,70189289,60024922,70230640,81450757,81064867,60024942,60029681,60000417,1151721,81304171,17405997,80175798,18907685,328438,81308434,80025172,81092221,268371,70305903,80041415,80002479;70132721;70143836;60001220;70084788;880640;70189289;60024922;70230640;81450757;81064867;60024942;60029681;60000417;1151721;81304171;17405997;80175798;18907685;328438;81308434;80025172;81092221;268371;70305903;80041415;80002479;;;;;
60020549;80029196,80187362,80133543,80091595,60036256,80237937,70056440,70178621,80216309,80161352,70108779,60029176,81004278,81161789,5670479,80179070,81073022,60001650,70305899,60020686,60004473,80093133,60002360,81044417;80029196;80187362;80133543;80091595;60036256;80237937;70056440;70178621;80216309;80161352;70108779;60029176;81004278;81161789;5670479;80179070;81073022;60001650;70305899;60020686;60004473;80093133;60002360;81044417;;;;;;;
60020686;986399,80121840,70250213,70125931,80071348,70113007,70273612,70033005,28631029,80002924,81616116,70298991,70220028,70243449,70267728,81475311,70109889,70044595,70011204,70002007,70216224,80048061,80233925;986399;80121840;70250213;70125931;80071348;70113007;70273612;70033005;28631029;80002924;81616116;70298991;70220028;70243449;70267728;81475311;70109889;70044595;70011204;70002007;70216224;80048061;80233925;;;;;;;;
60022967;81481808,80073823,80240371,80210920,81495803,81088494,81127902,80197327,81486213,8179348,81198448,80237937,80241181,81476183,81576597,80170988,81140933,81397077,81279324,81028975,81324724,81557402,70119811,18962448,80007079,18171073;81481808;80073823;80240371;80210920;81495803;81088494;81127902;80197327;81486213;8179348;81198448;80237937;80241181;81476183;81576597;80170988;81140933;81397077;81279324;81028975;81324724;81557402;70119811;18962448;80007079;18171073;;;;;
